,RegionName,MsaName,year,rent_price,median_income,income_per_capita,income_200000_or_more,owner_occupied_housing_units_median_value,median_rent,million_dollar_housing_units
61,78704,"Austin, TX",2014,1426.8333333333333,52306.0,38699.0,1375.0,361300.0,922.0,59
62,77077,"Houston, TX",2014,1240.7777777777778,62784.0,43923.0,2593.0,206800.0,870.0,42
63,85032,"Phoenix, AZ",2014,1023.5833333333334,47691.0,24248.0,587.0,155800.0,743.0,75
64,77379,"Houston, TX",2014,1194.1818181818182,97864.0,43433.0,3712.0,193700.0,925.0,130
65,10024,"New York, NY",2014,2887.5833333333335,109784.0,97669.0,8178.0,1000001.0,1761.0,5474
66,78666,"Austin, TX",2014,1056.875,33819.0,18389.0,449.0,132000.0,770.0,12
67,21234,"Baltimore, MD",2014,1417.4,58559.0,30282.0,646.0,211000.0,938.0,106
68,33160,"Miami-Fort Lauderdale, FL",2014,2032.1666666666667,47451.0,46744.0,1699.0,221000.0,1253.0,1141
69,23464,"Virginia Beach, VA",2014,1235.6666666666667,72164.0,29934.0,791.0,249600.0,1130.0,62
70,34787,"Orlando, FL",2014,1326.4166666666667,56569.0,27102.0,860.0,200900.0,813.0,58
71,75243,"Dallas-Fort Worth, TX",2014,635.9090909090909,36010.0,23286.0,855.0,188700.0,600.0,0
72,28027,"Charlotte, NC",2014,1102.8333333333333,58132.0,27873.0,947.0,176700.0,668.0,83
73,11207,"New York, NY",2014,1843.1666666666667,33816.0,16386.0,270.0,400600.0,951.0,98
74,94501,"San Francisco, CA",2014,1673.4545454545455,70935.0,39347.0,2386.0,617000.0,1288.0,627
75,02169,"Boston, MA",2014,1596.5,60775.0,33579.0,1007.0,329800.0,1137.0,111
76,33411,"Miami-Fort Lauderdale, FL",2014,1392.25,61552.0,30283.0,1233.0,198200.0,1078.0,142
77,60619,"Chicago, IL",2014,842.3636363636364,34153.0,19797.0,278.0,145400.0,710.0,49
78,78745,"Austin, TX",2014,1055.9166666666667,52949.0,27967.0,324.0,174600.0,879.0,39
79,94110,"San Francisco, CA",2014,3226.9,84488.0,49010.0,4610.0,787100.0,1387.0,1977
80,23462,"Virginia Beach, VA",2014,1224.6666666666667,57830.0,26743.0,305.0,205500.0,1082.0,56
81,33025,"Miami-Fort Lauderdale, FL",2014,1427.9166666666667,53857.0,23998.0,153.0,152500.0,1244.0,0
82,10458,"New York, NY",2014,1323.5833333333333,24829.0,14046.0,137.0,341900.0,967.0,28
83,75067,"Dallas-Fort Worth, TX",2014,1029.0,56514.0,28246.0,480.0,154500.0,810.0,11
84,90034,"Los Angeles-Long Beach-Anaheim, CA",2014,1718.4166666666667,56743.0,34903.0,1399.0,654500.0,1331.0,672
85,80134,"Denver, CO",2014,1764.3636363636363,101415.0,42056.0,2128.0,313000.0,1225.0,246
86,33139,"Miami-Fort Lauderdale, FL",2014,1820.6666666666667,43972.0,49729.0,1690.0,327700.0,1074.0,889
87,60611,"Chicago, IL",2014,2137.75,85074.0,102675.0,4150.0,466000.0,1630.0,1869
88,95630,"Sacramento, CA",2014,1595.0,100308.0,38465.0,2598.0,394200.0,1288.0,67
89,44107,"Cleveland, OH",2014,898.9090909090909,45064.0,28759.0,564.0,128600.0,601.0,51
