,RegionName,SizeRank,MsaName,year,rent_price,asian_pop,median_income,income_per_capita,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,median_rent,million_dollar_housing_units,masters_degree,bachelors_degree_or_higher_25_64,graduate_professional_degree,male_45_64_graduate_degree,employed_information,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,one_parent_families_with_young_children
24,60618,29,"Chicago, IL",2014,1366.0,4721,56763.0,32029.0,2029.0,2697.0,1019.0,225500.0,321600.0,472100.0,884.0,626,7100,25233.0,9643.0,1241,1218.0,1908.0,1826.0,1707.0,1721.0,2353.0
25,77584,30,"Houston, TX",2014,1179.6,13767,94669.0,40999.0,3938.0,3079.0,1244.0,153400.0,189600.0,254800.0,1059.0,9,6758,23606.0,10885.0,1468,642.0,415.0,653.0,552.0,481.0,1077.0
26,10011,31,"New York, NY",2014,3360.0,5398,104974.0,111064.0,3234.0,7848.0,1933.0,549900.0,903600.0,1000001.0,1868.0,4381,10406,29411.0,16536.0,2454,3475.0,790.0,835.0,951.0,698.0,749.0
27,20002,32,"Washington, DC",2014,1692.9166666666667,1570,68924.0,41103.0,2106.0,2507.0,1208.0,308200.0,458800.0,664800.0,1084.0,597,7292,19960.0,10849.0,1074,1313.0,652.0,816.0,787.0,906.0,1524.0
28,10128,33,"New York, NY",2014,2349.6666666666665,6356,100649.0,91988.0,2584.0,8005.0,1901.0,576200.0,1000001.0,1000001.0,1838.0,5024,11008,32911.0,19085.0,3339,2534.0,754.0,906.0,614.0,1143.0,609.0
29,28269,34,"Charlotte, NC",2014,1163.1666666666667,4433,60196.0,27607.0,1571.0,844.0,1035.0,117200.0,161500.0,211600.0,865.0,23,4891,17238.0,5780.0,851,951.0,1296.0,1285.0,1676.0,1424.0,2130.0
30,78613,35,"Austin, TX",2014,1235.5,5282,83146.0,35314.0,2387.0,2022.0,1128.0,160100.0,210100.0,281200.0,1003.0,0,5041,19397.0,6515.0,1397,963.0,627.0,751.0,732.0,956.0,1242.0
31,77433,36,"Houston, TX",2014,1299.1818181818182,4345,93884.0,33692.0,2152.0,2076.0,1421.0,139000.0,184100.0,282500.0,1144.0,33,3642,14888.0,4837.0,1124,473.0,364.0,798.0,410.0,253.0,934.0
32,30349,38,"Atlanta, GA",2014,972.25,387,43379.0,21164.0,601.0,537.0,876.0,76900.0,117900.0,171100.0,689.0,64,3520,11796.0,4655.0,343,1077.0,1711.0,1467.0,1472.0,1375.0,4043.0
33,79912,39,"El Paso, TX",2014,1135.3333333333333,2070,61581.0,30598.0,1771.0,1962.0,848.0,136000.0,173800.0,260900.0,757.0,26,5478,19583.0,8432.0,2309,736.0,1237.0,1092.0,1337.0,1464.0,1986.0
34,75052,40,"Dallas-Fort Worth, TX",2014,1074.5833333333333,8610,69032.0,26012.0,2025.0,869.0,1107.0,103500.0,135300.0,173500.0,905.0,26,3101,14325.0,4019.0,751,1169.0,742.0,1273.0,1211.0,1163.0,2453.0
35,94565,41,"San Francisco, CA",2014,1487.090909090909,12356,55865.0,21865.0,1421.0,793.0,1292.0,147700.0,217400.0,297200.0,1158.0,26,1842,8176.0,2461.0,542,709.0,1179.0,1286.0,970.0,1122.0,3064.0
36,11206,43,"New York, NY",2014,2538.0,4308,30686.0,17241.0,865.0,433.0,893.0,303100.0,527800.0,698300.0,809.0,210,2130,10269.0,2751.0,290,1649.0,1604.0,1703.0,1221.0,1274.0,3077.0
37,73099,44,"Oklahoma City, OK",2014,1184.0,2256,65399.0,28882.0,971.0,727.0,916.0,111000.0,145100.0,188000.0,731.0,12,2385,10260.0,3174.0,471,540.0,908.0,841.0,1119.0,1189.0,1198.0
38,90046,45,"Los Angeles-Long Beach-Anaheim, CA",2014,1837.090909090909,2886,56337.0,56531.0,1498.0,3232.0,1403.0,570800.0,860100.0,1000001.0,1328.0,2412,4375,22433.0,7064.0,1500,5419.0,1082.0,945.0,880.0,1174.0,358.0
39,20009,46,"Washington, DC",2014,2085.1666666666665,2465,92792.0,65527.0,2961.0,4268.0,1639.0,376700.0,544500.0,815400.0,1575.0,1193,11403,30427.0,18473.0,2402,1754.0,415.0,626.0,688.0,817.0,795.0
40,77429,47,"Houston, TX",2014,1216.5454545454545,5281,98191.0,40237.0,3392.0,3350.0,1153.0,142300.0,186100.0,275500.0,933.0,137,4761,19472.0,6321.0,1742,580.0,566.0,725.0,981.0,909.0,1006.0
41,78245,48,"San Antonio, TX",2014,1070.0833333333333,995,59742.0,20147.0,395.0,127.0,1079.0,91100.0,116200.0,152400.0,858.0,16,1719,6100.0,2048.0,366,455.0,1107.0,951.0,803.0,980.0,2976.0
42,77479,49,"Houston, TX",2014,1564.5833333333333,31313,128362.0,48569.0,3840.0,6282.0,1597.0,203400.0,287800.0,393500.0,1381.0,342,9151,28493.0,13412.0,3821,613.0,346.0,404.0,446.0,627.0,399.0
43,60613,52,"Chicago, IL",2014,1400.75,3280,69032.0,55263.0,1818.0,2614.0,1175.0,201700.0,309800.0,472700.0,1099.0,837,7145,26149.0,10634.0,1274,1080.0,773.0,813.0,993.0,1016.0,139.0
44,30044,53,"Atlanta, GA",2014,952.2,10720,51604.0,22444.0,834.0,743.0,1108.0,102800.0,140400.0,185300.0,885.0,117,3764,14974.0,4633.0,1029,1279.0,1629.0,1888.0,1209.0,1667.0,3106.0
45,10019,54,"New York, NY",2014,3186.6666666666665,5588,90174.0,86447.0,2202.0,4827.0,2001.0,534700.0,818900.0,1000001.0,2001.0,1543,7323,21095.0,11286.0,1371,1893.0,812.0,641.0,683.0,477.0,159.0
46,63376,55,"St. Louis, MO",2014,1147.3333333333333,1558,74390.0,31868.0,1636.0,870.0,922.0,143100.0,170100.0,219300.0,799.0,96,4783,14869.0,5330.0,1054,880.0,1140.0,863.0,1001.0,1101.0,1189.0
47,10003,56,"New York, NY",2014,3115.5833333333335,7440,97524.0,79088.0,3320.0,5798.0,1955.0,568400.0,863200.0,1000001.0,1837.0,3300,9094,28696.0,14399.0,2195,3504.0,760.0,578.0,448.0,811.0,294.0
48,28277,57,"Charlotte, NC",2014,1355.5833333333333,6698,93942.0,48809.0,2713.0,3860.0,1192.0,201700.0,277400.0,415600.0,1060.0,174,6910,24806.0,8837.0,2318,1455.0,624.0,539.0,519.0,812.0,636.0
49,60625,58,"Chicago, IL",2014,1239.1666666666667,10184,57252.0,29523.0,1594.0,1739.0,976.0,192100.0,302900.0,447400.0,879.0,203,6280,22119.0,8797.0,1392,1117.0,1319.0,1135.0,1220.0,1201.0,1640.0
50,30043,59,"Atlanta, GA",2014,1137.3333333333333,10383,66486.0,26338.0,1742.0,1139.0,1137.0,130800.0,168900.0,219100.0,942.0,134,3633,17787.0,4953.0,1081,1295.0,803.0,1433.0,756.0,958.0,1332.0
51,11212,61,"New York, NY",2014,1450.8181818181818,840,28146.0,15814.0,485.0,302.0,936.0,307000.0,383200.0,473500.0,825.0,22,1271,5166.0,1499.0,46,347.0,2215.0,1722.0,1695.0,1368.0,6385.0
52,10463,63,"New York, NY",2014,1682.5,2500,55354.0,31572.0,1737.0,1594.0,1177.0,142700.0,280600.0,466400.0,1064.0,369,6171,15077.0,9205.0,1422,1159.0,1287.0,1216.0,1092.0,1171.0,2544.0
53,60629,64,"Chicago, IL",2014,819.0909090909091,676,40095.0,14295.0,470.0,142.0,883.0,106300.0,149000.0,191900.0,744.0,1,1062,4888.0,1341.0,206,586.0,2044.0,2112.0,2193.0,1903.0,6416.0
54,11209,65,"New York, NY",2014,1531.0,9223,59934.0,36870.0,2315.0,2314.0,1330.0,313700.0,629200.0,865400.0,1213.0,1095,6801,20700.0,9857.0,1848,1189.0,1351.0,1133.0,968.0,1313.0,1247.0
55,30096,66,"Atlanta, GA",2014,1127.3333333333333,13291,49441.0,24491.0,960.0,875.0,1014.0,129600.0,174100.0,239600.0,848.0,71,3766,14015.0,4936.0,1083,1055.0,1422.0,1665.0,1378.0,1547.0,2820.0
56,11221,67,"New York, NY",2014,2148.8333333333335,2404,39785.0,19340.0,813.0,557.0,1135.0,403000.0,541100.0,694100.0,1024.0,300,2791,10139.0,3375.0,391,963.0,1809.0,1106.0,1197.0,1242.0,4500.0
57,7030,68,"New York, NY",2014,2649.25,4143,106875.0,69476.0,2748.0,5307.0,1829.0,417600.0,563300.0,760300.0,1761.0,1164,7533,28518.0,10776.0,750,2455.0,527.0,412.0,365.0,344.0,752.0
58,98052,69,"Seattle, WA",2014,1570.6666666666667,17021,103086.0,52125.0,3256.0,3989.0,1450.0,344100.0,473800.0,640400.0,1336.0,247,9674,24603.0,11802.0,1734,2360.0,570.0,581.0,686.0,727.0,533.0
59,30024,70,"Atlanta, GA",2014,1327.25,15419,100690.0,37761.0,2652.0,3112.0,1370.0,201100.0,269600.0,371000.0,1151.0,205,6108,22628.0,8192.0,2035,1573.0,330.0,653.0,354.0,650.0,891.0
60,60610,71,"Chicago, IL",2014,2059.25,2401,75700.0,69174.0,1803.0,3249.0,1331.0,244100.0,394900.0,691300.0,1278.0,1049,6316,18788.0,10257.0,1113,1026.0,490.0,678.0,531.0,627.0,548.0
61,78704,72,"Austin, TX",2014,1426.8333333333333,765,52306.0,38699.0,1111.0,1375.0,1041.0,252300.0,361300.0,487900.0,922.0,59,3844,17151.0,6543.0,1078,1083.0,1064.0,1124.0,1098.0,1161.0,1141.0
62,77077,73,"Houston, TX",2014,1240.7777777777778,6972,62784.0,43923.0,1874.0,2593.0,1031.0,155500.0,206800.0,291600.0,870.0,42,6314,17694.0,8221.0,1513,489.0,1064.0,1257.0,945.0,872.0,1590.0
63,85032,74,"Phoenix, AZ",2014,1023.5833333333334,2249,47691.0,24248.0,739.0,587.0,875.0,103400.0,155800.0,224400.0,743.0,75,3151,11149.0,4005.0,755,735.0,1227.0,1452.0,1571.0,1507.0,2747.0
64,77379,75,"Houston, TX",2014,1194.1818181818182,6908,97864.0,43433.0,3330.0,3712.0,1095.0,147700.0,193700.0,277100.0,925.0,130,5429,19838.0,7665.0,2478,289.0,459.0,790.0,653.0,514.0,1015.0
65,10024,77,"New York, NY",2014,2887.5833333333335,3697,109784.0,97669.0,2960.0,8178.0,1828.0,680400.0,1000001.0,1000001.0,1761.0,5474,12051,30215.0,20664.0,3566,3044.0,535.0,857.0,596.0,864.0,389.0
66,78666,78,"Austin, TX",2014,1056.875,914,33819.0,18389.0,615.0,449.0,909.0,78600.0,132000.0,196100.0,770.0,12,2072,8413.0,2846.0,574,380.0,1864.0,1336.0,1368.0,1247.0,1714.0
67,21234,79,"Baltimore, MD",2014,1417.4,3062,58559.0,30282.0,1387.0,646.0,1138.0,169300.0,211000.0,262500.0,938.0,106,4164,11784.0,5177.0,740,701.0,1454.0,1412.0,1248.0,1359.0,1915.0
68,33160,80,"Miami-Fort Lauderdale, FL",2014,2032.1666666666667,499,47451.0,46744.0,577.0,1699.0,1334.0,119300.0,221000.0,480800.0,1253.0,1141,4219,10393.0,6568.0,1564,439.0,1101.0,1195.0,840.0,612.0,335.0
69,23464,81,"Virginia Beach, VA",2014,1235.6666666666667,7346,72164.0,29934.0,1508.0,791.0,1322.0,204900.0,249600.0,302500.0,1130.0,62,4257,14224.0,5175.0,1085,978.0,998.0,1081.0,1025.0,1012.0,1469.0
70,34787,82,"Orlando, FL",2014,1326.4166666666667,1984,56569.0,27102.0,1038.0,860.0,1005.0,118100.0,200900.0,308900.0,813.0,58,2946,9849.0,3784.0,552,550.0,948.0,792.0,1043.0,736.0,786.0
71,75243,85,"Dallas-Fort Worth, TX",2014,635.9090909090909,4369,36010.0,23286.0,892.0,855.0,737.0,108700.0,188700.0,294000.0,600.0,0,2420,7997.0,3425.0,843,584.0,1795.0,1905.0,1348.0,1565.0,2876.0
