geo_id,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,civilian_labor_force,employed_pop,unemployed_pop,not_in_labor_force,pop_16_over,pop_in_labor_force,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,pop_15_and_over,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,do_date
26055,11109,22290,1985,151,2346,597,409,702,1082,589,606,447,242,88349,43962,44387,40.1,,,,,,,,,,33399,46330,26177,41781,8382,1230,682,704,33.9,26228,416,18424,5636,4589,2969,1381,239,0,1047,229,229,7041,7899,6828,3339,3227,1024,853610,1521,2099,2817,2178,1766,1453,2030,2278,1528,3275,3151,2921,3210,1086,1043,1043,807,108500,169400,255400,17756,33399,7171,29800,1542,538,933,1619,1120,1645,756,3828,2839,4504,3880,2432,2773,2293,1952,1208,355,545,1850,3376,3167,2716,2904,3005,3504,2916,1490,1857,879,1055,1312,1584,345,444,2137,1755,3595,1525,1169,429,551,1410,2788,2572,3421,1716,3270,3770,3989,1134,1459,928,880,1916,1319,1185,1469,83703,1976,336,565,5166,259,871,1457,1040,7286,167,45570,41875,3695,26600,72337,45737,,,,,,,6381,6018,10602,15372,18462,3432,,,,,,11227,337,2183,4897,3048,10565,3374,921,3595,1221,1155,4580,4066,1214,1056,491,2372,0.4649,8642,5633,18651,4905,2985,4599,4855,20492,4964,4936,1139,2487,1797,71,460,4090,2728,12772,53,15089,193,1483,1351,15089,4577,4252,10429,7528,10063,14694,4787,49054,84799,87126,85712,13954,10429,19539,,,,5444,10602,15063,5742,6212,8353,62370,,,,,,,,,,73364,19754,38686,723,3608,10332,2011
37035,16362,40016,1982,1425,3519,753,1330,1583,1184,2423,1909,1357,977,154181,75406,78775,39.8,,,,,,,,,,56378,44369,23020,67922,11544,1479,1180,529,28.6,39918,346,25202,11170,8318,4844,3213,261,0,2852,442,442,11459,13420,11493,2899,7918,2738,1395380,3723,3563,2968,4491,4084,2759,2849,4286,2776,5121,5624,6040,3108,1599,1679,1708,686,84000,124000,205000,30560,56378,16460,44297,1459,2232,1314,3179,2302,548,491,12100,3321,6826,2429,5120,5321,4755,3510,2292,907,839,2400,4158,4429,4849,6484,5365,5750,5091,1510,2956,1978,2276,1813,1548,1144,911,4755,4781,4874,3035,2342,662,987,2798,4218,4576,5838,4941,5974,5520,5479,2433,2647,1891,1999,3028,2874,1610,1513,127753,13430,887,4709,6672,954,1542,2160,1049,9444,68,75337,67975,7362,47106,122511,75405,,,902,752,350,132,9630,8540,15411,18739,36151,6577,,,,,,13511,3809,255,5300,2987,12958,2860,900,20085,3001,1834,7896,4620,2963,2316,273,4353,0.4594,7786,2450,29983,8555,7513,7435,9160,37216,8231,18938,1404,3510,1260,1137,2813,5267,5281,20672,0,20341,1801,3928,7853,20341,4567,16440,16974,9653,14959,23112,10026,82218,151769,152517,149148,20555,16974,32685,,,,10213,15411,25340,6433,5869,16039,104803,,,,,,,,,,124575,35123,64074,2925,8574,13266,2011
40131,7143,26362,1988,600,954,497,436,676,945,721,843,599,409,87706,43259,44447,38.9,,,,,,,,,206,33505,54591,26648,35838,2333,,,537,27.5,26825,147,17710,6114,4943,2574,2307,42,20,1171,182,182,4594,5493,5207,3715,5339,2787,957410,1537,1492,1347,1961,1347,1334,2395,1730,1786,3246,3269,5153,3171,1775,968,994,691,96000,143200,212800,21956,33505,6680,27862,481,770,395,687,702,153,168,4570,4466,5850,1564,2599,2774,3666,2075,1126,522,395,1806,2576,2457,2678,2723,3425,3443,2242,1105,1885,733,1353,1505,994,659,518,2881,2713,3462,2082,1086,432,522,1699,2563,2507,2711,2969,3395,3345,3541,809,1307,997,1771,937,1148,783,787,66501,1144,9780,1120,3940,2129,2129,1297,644,5946,26,42704,40214,2490,25591,68321,42730,,,,,,,5297,4374,10219,12354,22252,3279,,,,,,,,604,2164,1935,8894,1907,647,6908,2403,2047,4566,3130,4168,841,82,3278,0.4059,4319,1157,19044,3416,5102,5822,4789,22541,3989,5354,1104,1531,981,308,529,4604,3043,12100,35,13100,253,963,1086,13100,4881,6425,9813,5995,7490,14337,7437,45681,86272,,84534,8084,9813,18930,,,,4715,10219,16518,5511,3086,8704,57866,,,,,,,,,,69611,12467,45910,1571,3511,6146,2011
41071,9191,23487,1984,723,2363,669,924,765,1494,1004,1229,410,264,100000,50615,49385,38.6,,,,,,,,,,32678,53612,22213,37359,4681,,,737,31,22833,466,16708,6701,4068,3291,716,61,0,2633,898,743,6488,4656,3570,2057,3639,3942,1007520,2312,1599,1240,1949,1830,1966,1993,2029,718,2183,4148,5085,2321,1114,1315,876,833,146700,207300,326100,16994,32678,9845,24830,1611,825,510,756,2387,707,1363,4370,2957,4451,4944,3338,3597,3758,2107,2247,686,430,2377,2671,3252,3314,3214,3351,3583,4101,1223,1167,828,1067,1540,945,969,850,2771,2977,3373,2535,1127,759,726,2403,2571,2799,2303,3667,4230,3310,4139,604,1581,376,1322,2034,866,1406,1506,85524,1190,1582,881,5804,1736,3115,2276,676,6496,0,51736,45864,5872,27081,78817,51736,,,,,965,415,5676,5499,8243,10136,24456,4831,,,,,,,,1228,4627,3014,9423,2299,366,7881,2113,2670,5718,4315,1282,928,16,2185,0.4112,4735,5869,23211,6706,5523,5428,5738,27471,7742,9382,1236,1251,883,838,954,5503,2760,13425,0,14044,1044,2000,5227,14044,5257,7109,11025,8429,8135,13803,6555,51080,93765,,96744,12725,11025,19218,,,,3767,8243,18793,6259,3080,9192,64789,,,,,,,,,,80186,24263,40392,2172,4641,7684,2011
36091,32017,58213,1979,538,4705,1651,2669,1543,2463,4340,3220,1968,630,220882,108810,112072,41.4,,,,,,,,,,90230,64250,33413,99507,9277,678,1119,774,27.9,66503,688,43556,13488,10877,7257,3496,80,44,2611,867,805,13674,15228,19512,8036,15558,6849,2645670,4441,3072,2862,2776,4022,3465,4142,4295,3646,8534,10162,13588,9560,6096,5406,4163,913,156600,226100,314900,48137,90230,23727,63378,5249,6082,5882,3811,3080,1644,1966,8399,6810,9313,16961,6369,6892,7403,4712,3085,1485,1452,3487,6379,6002,6457,8425,9498,8850,8979,3037,2848,2161,2791,3199,2264,2136,899,5460,6017,7373,4549,2506,1489,1275,3861,6094,6197,6020,9483,9933,9027,8445,2835,4259,2215,3067,3847,3016,2317,2787,207929,3680,101,4159,8962,3684,7211,2897,1666,18555,2244,119694,111869,7825,56460,178398,121938,,,,,,,16838,14309,35997,51718,48775,7308,546,102156,7874,0,94282,24863,1840,531,9610,6480,29471,9517,2490,10098,5116,8746,11631,11419,3700,3060,40,4374,0.4129,24030,4260,40600,6001,10844,12086,12035,57176,13303,7877,3475,7357,4851,550,508,10635,5836,33212,0,48251,2378,4758,4793,48251,9715,9355,27446,17102,28358,40837,11903,122768,216746,219344,214590,14677,27446,44963,1835,5694,112133,17466,35997,35954,9258,18194,18239,153467,,,,,,,,,,181368,49757,100158,4914,9222,16547,2011
19169,16605,18189,1977,764,5080,1576,717,1297,1201,1483,1923,1356,243,89663,45580,44083,26.4,,,,,,,,,,34794,45866,24246,37091,2297,,,582,34.7,19154,23,12157,5199,4587,3085,1392,80,30,612,111,111,13188,8464,5029,1293,2149,2682,765505,4559,2395,1774,1370,1911,1760,1444,1904,1563,2832,3468,4007,2008,1528,1330,941,655,112100,160500,225700,15689,34794,15640,19120,1834,1803,2341,3167,2249,4039,1115,1423,2388,3761,6430,2339,2383,1877,1062,3304,2259,4095,5012,3560,2888,2833,1296,2124,2288,2053,1209,1095,411,694,980,600,642,576,2110,2220,2075,1610,3104,1263,3053,5208,3229,2407,2048,1625,2288,2359,1910,1061,1403,497,566,1369,703,1001,974,79790,2750,65,5928,8031,696,1427,435,163,4148,14,50948,47594,3354,24628,75590,50962,,,,,,,4047,3995,13322,18869,15676,2448,3450,38039,3524,0,34515,11087,12849,1005,3979,2230,17260,2785,1284,4705,2138,1941,5656,3107,904,600,37,2403,0.4708,8279,7985,8339,2191,3194,3247,3001,39272,23245,2371,815,2125,1851,154,328,1349,2147,8769,104,20242,933,2488,5971,20242,3627,4455,11300,7970,11606,14034,4263,37676,81682,88862,87113,19574,11300,14378,3364,1313,47032,4566,13322,7627,2922,4600,6890,46689,,,,,,,,,,76659,36128,32122,171,2470,5469,2011
55105,21444,42171,1966,1020,5442,1693,1941,1722,1689,2310,1723,1331,468,160092,79124,80968,38.6,,,,,,,,,291,63615,47559,22802,68483,4868,1436,1059,593,34.8,44276,159,30036,10954,6172,4343,1371,329,129,4782,802,728,11591,11211,9139,4877,7910,4892,1686445,4358,3685,4342,3517,3906,3769,3644,3067,3100,5792,7278,7862,5177,2112,1361,645,722,95200,133300,184300,31767,63615,19339,50752,4224,3418,2379,1292,1377,1658,1459,1924,3967,4614,16643,5280,6346,5011,3333,2345,831,871,3085,4768,5385,5061,5271,5837,5929,5843,1629,2809,1011,1660,2720,1323,1406,1370,4946,4351,6550,3457,1771,1152,1367,2351,5296,5181,4454,5677,6161,6029,5491,1480,2799,1182,2454,2503,2311,2165,1840,145088,7145,171,1849,8399,1547,3229,2376,1570,13731,29,83430,74618,8812,41954,125413,83459,,,499,631,489,670,10598,8963,12850,16284,39274,9246,275,67134,7917,0,59217,11061,10706,1390,5468,4495,16177,4218,1050,16467,2386,2067,7591,5986,4629,2694,0,4254,0.404,6898,3448,38604,11430,8967,9137,9852,40835,7958,13991,2130,2062,1086,791,1850,9047,5081,22047,172,21261,817,3527,5313,21261,8218,15984,16990,12165,21077,24480,10277,85100,155388,157971,154779,23381,16990,34702,1532,3043,72970,10374,12850,33911,8576,4968,15752,107045,,,,,,,,,,127608,35019,67453,1262,7896,15289,2011
55087,22722,46215,1976,1139,3417,1417,1244,1044,2847,2157,3126,2184,818,177913,89117,88796,38.1,,,,,,,,,471,68937,56445,26322,73543,4606,1055,1292,578,26.5,49544,226,35607,13579,9952,6906,2376,587,83,3627,1066,1037,19614,16726,14693,6614,8551,2130,1735990,2461,3260,3719,4238,3083,3832,3363,2888,3186,6856,8783,10927,6409,2715,1800,1417,692,117200,155100,215600,37029,68937,19393,51632,3374,5244,1507,4090,2813,1955,1679,1249,6347,4985,12077,5912,6487,6893,3927,2506,1340,640,3280,6211,5970,5968,6016,7248,6850,5971,2086,2591,779,2087,2395,2020,1031,909,5445,5164,6454,3806,2264,1272,1015,2406,6255,5708,5131,6418,7261,6960,5708,2589,2422,1246,2155,2543,2795,1646,2133,164007,1813,2809,5451,11606,2013,1996,970,1188,10450,46,99053,94191,4862,40184,139283,99099,,,,,,,13196,9940,20410,26694,44088,7397,471,83922,7655,0,76267,13043,4929,1551,7669,5058,17543,6551,1926,21592,3554,2881,11178,7653,4548,2487,109,4452,0.3918,10442,3326,42112,5515,9863,10528,10326,47893,10863,8078,3140,4639,2262,335,806,9099,4465,24746,57,28821,1592,3111,5283,28821,7657,18170,24303,15240,21461,29507,10406,97363,174720,175386,171605,13508,24303,38060,2882,4188,93120,13898,20410,38636,7335,7874,16827,119102,,,,,,,,,,141558,40350,76526,1660,6544,15986,2011
17113,23932,39308,1978,2987,4492,1773,533,1574,2815,1837,2260,2065,945,170556,82782,87774,32.8,,,,,,,,,,63240,57799,29239,70195,6955,1943,1484,580,28.6,41959,0,30053,11582,7810,5551,2125,56,78,3772,842,826,22426,19767,8742,2649,3937,3193,1443525,4898,3228,3881,2640,2314,2430,3473,2662,2798,4674,5409,8385,6748,3344,3695,2661,706,110200,157500,223800,30383,63240,21281,43917,2891,1659,4232,4491,6107,2105,1714,3079,6540,6479,11049,5552,4792,6067,3090,3808,3160,2839,4767,5548,5277,5736,4858,5309,5818,4747,1767,1970,888,1733,1867,1362,968,859,4920,5332,5153,3237,4640,3238,3246,4957,5203,6355,5745,5509,5357,5584,5976,1172,2276,1441,1446,2004,1472,1547,1964,144817,13017,463,6883,12953,991,1380,1177,1170,9621,109,94415,87100,7315,42169,136693,94524,,,971,536,,,9464,7942,29749,37910,38143,8987,1504,74826,7344,37,67482,17416,14331,725,7731,4465,23889,19397,997,5078,3520,1917,7744,7224,2810,1603,83,2175,0.4678,12815,8256,25934,6749,8956,9129,7868,57898,23237,6149,1066,6198,2893,259,764,4633,3798,19611,318,35900,2747,4374,7810,35900,6152,7859,22482,14707,20400,27923,8368,84207,161913,168914,164943,25689,22482,27111,3982,3392,85825,7135,29749,22435,6099,10021,13877,101758,,,,,,,,,,138740,54985,62863,2939,5515,11250,2011
25003,23043,32187,1956,991,3667,971,1243,2005,2569,1892,1277,1357,452,130458,62620,67838,45.3,,,,,,,,,,55230,42969,28110,68500,13270,1327,817,616,30.4,38806,759,24235,7200,3916,2560,1019,257,80,3284,172,117,11094,10285,6796,2521,5123,1887,1224485,3733,3948,3306,4516,3712,3058,3014,3373,2003,4338,5445,5468,3754,2231,1850,1481,710,151300,205900,323400,24354,55230,16424,45213,1872,6487,5427,2042,1847,1858,1912,1842,1094,2554,25141,3092,2686,4116,2636,2065,1001,1138,2002,3147,3003,4039,3261,5034,5004,5258,2074,2415,1059,1711,2927,2221,1567,1164,2913,3317,3592,2625,1993,1260,1167,1625,3304,3551,3332,4051,4946,5568,5359,2112,2824,1171,1836,3486,2815,2431,2560,121367,4020,373,2009,9315,1264,1649,1456,1784,12261,47,67156,60805,6351,41697,108900,67203,,,,,,,9373,9325,16497,21423,24977,6249,352,52843,4590,150,48253,9994,4979,653,5736,4698,19265,2585,1427,4999,3584,2105,8344,4758,1509,1142,261,1923,0.4917,12226,6946,31863,6977,4478,6016,6560,31470,8868,7739,1692,3133,2805,437,1162,6853,3703,19785,98,20480,1491,5171,2635,20480,5428,5756,14457,14684,22956,20694,4486,68282,124064,129383,126861,16571,14457,24905,2323,2682,59325,7795,16497,29247,6183,8489,10927,93230,,,,,,,,,,110742,34660,50841,2111,8390,13712,2011
