,zip,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,,,,,,,,,,,,,,,,,
24,2119,2765.450702,2810.850364,2823.505848,2836.161333,2847.816817,2859.472302,2871.127786,2885.78327,2899.438755,2914.094239,2928.749724,2944.405208,2988.511395,3036.566541,3051.87751,3067.188479,3081.499448,3095.810416,,,,,,,,,,,,,,,,,
25,2120,3842.237474,3889.802039,3899.908917,3909.015794,3921.122671,3933.229548,3946.336426,3954.443303,3963.55018,3972.657057,3975.763935,3977.870812,4019.215163,4068.886606,4081.10036,4092.314115,4106.527869,4120.741624,,,,,,,,,,,,,,,,,
26,2122,2308.632671,2328.488696,2340.988541,2354.488386,2366.988231,2380.488076,2392.987921,2412.487766,2431.987612,2451.487457,2469.987302,2488.487147,2518.619664,2540.975533,2555.975223,2571.974913,2586.974604,2602.974294,,,,,,,,,,,,,,,,,
27,2124,2303.067691,2317.498202,2330.559821,2343.621441,2357.68306,2372.744679,2387.806298,2403.867917,2419.929537,2435.991156,2445.052775,2455.114394,2476.243705,2492.735835,2507.859073,2522.982312,2539.10555,2556.228789,,,,,,,,,,,,,,,,,
28,2125,2540.912693,2573.665793,2588.948886,2603.231979,2621.515072,2638.798165,2657.081258,2670.364351,2683.647444,2696.930537,2701.21363,2705.496723,2732.692509,2767.728702,2785.294888,2801.861074,2822.427261,2841.993447,,,,,,,,,,,,,,,,,
29,2127,2973.195412,3033.157249,3042.378581,3052.599913,3058.821246,3064.042578,3069.26391,3075.485242,3081.706574,3087.927907,3093.149239,3098.370571,3159.787315,3221.970484,3233.413149,3245.855813,3254.298477,3261.741142,,,,,,,,,,,,,,,,,
30,2128,2260.092446,2304.663441,2310.672529,2317.681618,2325.690706,2332.699794,2340.708882,2350.717971,2360.727059,2370.736147,2376.745235,2381.754323,2428.855858,2475.435941,2483.454118,2492.472294,2502.49047,2511.508647,,,,,,,,,,,,,,,,,
31,2130,2478.762195,2515.65561,2523.102947,2529.550284,2534.997621,2541.444958,2546.892295,2552.339633,2556.78697,2561.234307,2561.681644,2562.128981,2600.338513,2638.679265,2647.573939,2655.468614,2662.363288,2670.257962,,,,,,,,,,,,,,,,,
32,2131,2379.205154,2406.873597,2419.11844,2431.363284,2447.608128,2462.852972,2478.097816,2493.342659,2508.587503,2522.832347,2532.077191,2541.322035,2567.772032,2597.685319,2612.175006,2626.664694,2645.154382,2662.644069,,,,,,,,,,,,,,,,,
33,2132,2182.64687,2212.889149,2220.408178,2226.927208,2233.446237,2240.965266,2247.484296,2254.003325,2260.522355,2267.041384,2273.560414,2280.079443,2310.245343,2342.006651,2351.04471,2359.082768,2367.120827,2376.158886,,,,,,,,,,,,,,,,,
34,2134,2332.820058,2369.665249,2376.030526,2381.395803,2385.761081,2389.126358,2393.491635,2397.856913,2402.22219,2407.587468,2407.952745,2409.318022,2447.503357,2485.713826,2493.44438,2500.174935,2505.90549,2510.636045,,,,,,,,,,,,,,,,,
35,2135,2283.348944,2299.507417,2307.774642,2316.041867,2325.309092,2334.576316,2343.843541,2352.110766,2360.377991,2368.645216,2371.912441,2375.179666,2389.795835,2407.221533,2416.755982,2426.290432,2436.824882,2447.359332,,,,,,,,,,,,,,,,,
36,2136,2270.84483,2310.133287,2321.957031,2333.780775,2344.604518,2355.428262,2365.252006,2372.075749,2378.899493,2386.723237,2386.54698,2386.370724,2424.039297,2465.151499,2478.798986,2492.446473,2505.093961,2517.741448,,,,,,,,,,,,,,,,,
37,2138,2627.880758,2648.130499,2655.474753,2663.819006,2673.16326,2681.507513,2690.851766,2699.19602,2707.540273,2715.884527,2719.22878,2722.573033,2740.798045,2762.392039,2771.080546,2780.769053,2791.45756,2801.146067,,,,,,,,,,,,,,,,,
38,2139,2834.319161,2877.759639,2877.030319,2877.300999,2878.571679,2880.842359,2882.113039,2885.383719,2888.654399,2892.925079,2892.195759,2891.466439,2941.05628,2985.767438,2986.308798,2987.850158,2990.391517,2993.932877,,,,,,,,,,,,,,,,,
39,2140,2759.1216,2798.25674,2807.246558,2817.236376,2829.226195,2840.216013,2851.205831,2862.19565,2872.185468,2883.175287,2884.165105,2886.154923,2926.266341,2967.3913,2978.370936,2990.350573,3004.33021,3017.309846,,,,,,,,,,,,,,,,,
40,2141,2863.140655,2875.512284,2887.286424,2900.060565,2915.834706,2931.608847,2947.382988,2962.157129,2976.93127,2991.705411,2995.479551,2998.253692,3012.168488,3026.314258,3039.862539,3054.410821,3071.959103,3089.507385,,,,,,,,,,,,,,,,,
41,2143,2638.073593,2686.951591,2692.690654,2699.429717,2706.16878,2712.907842,2718.646905,2724.385968,2730.125031,2734.864094,2734.603157,2734.34222,2784.154875,2834.771936,2842.250062,2850.728188,2859.206314,2867.68444,,,,,,,,,,,,,,,,,
42,2144,2820.071416,2857.216554,2865.904452,2874.59235,2884.280248,2892.968146,2901.656044,2909.343942,2917.03184,2924.719737,2925.407635,2926.095533,2961.854848,3000.687883,3011.063679,3021.439475,3032.815271,3043.191067,,,,,,,,,,,,,,,,,
43,2145,2595.352174,2644.699707,2653.92847,2663.157233,2672.385996,2681.614759,2690.843522,2701.072285,2711.301048,2721.529812,2725.758575,2729.987338,2782.568275,2834.144571,2845.602097,2857.059623,2868.517149,2879.974676,,,,,,,,,,,,,,,,,
44,2148,2267.90455,2311.029782,2318.687725,2327.345667,2335.003609,2342.661551,2350.319493,2354.977436,2360.635378,2365.29332,2365.951262,2366.609205,2407.171697,2451.954871,2461.270756,2471.58664,2480.902525,2490.218409,,,,,,,,,,,,,,,,,
45,2150,2115.294834,2150.616349,2162.706984,2174.797619,2186.888254,2198.978889,2212.069523,2223.160158,2235.250793,2247.341428,2252.432063,2257.522698,2290.908167,2328.320317,2342.501587,2356.682856,2370.864126,2385.045396,,,,,,,,,,,,,,,,,
46,2151,2311.816817,2378.187187,2391.587011,2404.986835,2416.38666,2427.786484,2440.186309,2445.586133,2451.985958,2457.385782,2455.785607,2454.185431,2513.402072,2582.172267,2597.971916,2613.771565,2627.571214,2641.370862,,,,,,,,,,,,,,,,,
47,2152,2167.454162,2313.082714,2331.946861,2342.144341,2352.341821,2362.539301,2368.403448,2355.267595,2342.131742,2328.995888,2306.860035,2284.724182,2408.04249,2556.53519,2578.263483,2591.32511,2604.386737,2617.448364,,,,,,,,,,,,,,,,,
48,2155,2563.704241,2614.695119,2623.471764,2632.24841,2638.025055,2643.801701,2650.578346,2654.354991,2659.131637,2662.908282,2663.684928,2664.461573,2712.94246,2765.709983,2776.263274,2786.816565,2794.369856,2801.923147,,,,,,,,,,,,,,,,,
49,2169,2073.831595,2103.410774,2112.073935,2119.737097,2128.400258,2136.063419,2144.72658,2153.389742,2161.052903,2169.716064,2175.379226,2182.042387,2213.537144,2244.779483,2255.105806,2264.432129,2274.758451,2284.084774,,,,,,,,,,,,,,,,,
50,2171,2187.594608,2237.273969,2241.620188,2244.966406,2247.312625,2249.658844,2252.005063,2252.351281,2252.6975,2254.043719,2254.389938,2253.736156,2300.676984,2351.702563,2357.395,2362.087438,2365.779875,2369.472313,,,,,,,,,,,,,,,,,
51,2184,2400.015058,2454.646819,2454.998145,2454.349472,2455.700798,2456.052124,2457.40345,2458.754777,2460.106103,2461.457429,2458.808756,2457.160082,2513.526466,2569.509553,2571.212206,2571.914859,2574.617511,2576.320164,,,,,,,,,,,,,,,,,
52,2210,3609.407901,3671.990746,3678.428975,3684.867204,3690.305434,3695.743663,3701.181893,3700.620122,3700.058351,3699.496581,3685.93481,3672.37304,3730.21917,3794.240244,3802.116703,3809.993162,3816.86962,3823.746079,,,,,,,,,,,,,,,,,
53,2215,2482.624651,2502.953138,2512.349756,2521.746375,2532.142993,2541.539611,2551.93623,2560.332848,2569.729466,2578.126085,2580.522703,2582.919321,2599.940591,2621.665696,2632.458932,2643.252169,2655.045406,2665.838642,,,,,,,,,,,,,,,,,
54,2360,2057.831429,2110.944489,2115.697153,2119.449817,2126.202481,2131.955146,2138.70781,2141.460474,2145.213138,2148.965803,2152.718467,2156.471131,2205.055224,2259.920948,2266.426277,2271.931605,2280.436934,2287.942262,,,,,,,,,,,,,,,,,
55,2445,2726.840393,2740.489088,2747.865651,2755.242214,2765.618777,2775.99534,2786.371903,2796.748466,2807.125028,2818.501591,2823.878154,2829.254717,2842.471673,2857.496931,2866.250057,2875.003183,2886.756308,2898.509434,,,,,,,,,,,,,,,,,
56,2446,2768.761674,2791.000429,2796.370298,2802.740167,2811.110036,2820.479904,2828.849773,2837.219642,2844.589511,2852.95938,2855.329249,2858.699118,2883.830661,2907.439285,2914.179022,2921.91876,2931.658498,2942.398236,,,,,,,,,,,,,,,,,
57,2458,2248.58359,2275.518752,2285.90942,2295.300087,2306.690755,2317.081423,2328.472091,2333.862759,2340.253426,2346.644094,2346.034762,2345.42543,2365.399688,2393.725517,2405.506853,2416.288189,2429.069524,2440.85086,,,,,,,,,,,,,,,,,
58,2459,3109.298101,3124.268569,3126.395536,3129.522503,3134.649469,3140.776436,3146.903403,3156.03037,3165.157336,3174.284303,3181.41127,3187.538236,3203.963304,3220.060739,3223.314673,3227.568606,3233.822539,3241.076473,,,,,,,,,,,,,,,,,
59,2460,3282.710124,3283.904324,3296.026301,3307.148278,3325.270255,3342.392232,3360.514209,3381.636186,3403.758163,3424.88014,3442.002117,3458.124094,3460.956195,3464.272372,3478.516326,3491.76028,3512.004234,3531.248188,,,,,,,,,,,,,,,,,
60,2465,2784.271187,2798.448743,2803.797355,2809.145968,2815.494581,2822.843194,2829.191807,2839.54042,2849.889033,2860.237646,2866.586259,2873.934872,2897.554672,2913.08084,2919.778066,2926.475292,2934.172518,2942.869743,,,,,,,,,,,,,,,,,
61,2467,2624.139268,2657.434919,2677.947726,2699.460533,2716.973341,2735.486148,2752.998955,2766.511762,2781.024569,2794.537376,2800.050183,2805.56299,2835.215065,2871.023524,2894.049138,2918.074752,2938.100366,2959.125981,,,,,,,,,,,,,,,,,
62,2472,2314.82112,2343.227921,2352.874879,2362.521836,2373.168794,2383.815752,2394.46271,2403.109668,2411.756625,2419.403583,2424.050541,2427.697499,2453.165577,2483.219335,2494.513251,2505.807167,2518.101082,2530.394998,,,,,,,,,,,,,,,,,
63,2474,2321.576715,2360.480027,2370.171534,2379.863041,2388.554548,2397.246055,2405.937563,2411.62907,2417.320577,2423.012084,2424.703592,2426.395099,2463.663321,2504.25814,2515.641154,2527.024169,2537.407183,2547.790197,,,,,,,,,,,,,,,,,
64,2476,2058.917008,2094.737898,2099.241157,2103.744416,2112.247674,2120.750933,2128.254192,2134.757451,2141.26071,2146.763969,2149.267228,2150.770487,2185.190754,2222.514902,2228.52142,2234.527938,2244.534455,2254.540973,,,,,,,,,,,,,,,,,
65,2478,2421.000586,2439.792016,2445.145331,2451.498647,2460.851962,2471.205277,2480.558593,2488.911908,2498.265223,2507.618538,2511.971854,2515.325169,2534.679071,2554.823816,2561.530446,2569.237077,2579.943707,2591.650338,,,,,,,,,,,,,,,,,
66,2703,1674.676254,1691.867829,1702.304375,1712.740921,1724.177466,1735.614012,1746.050557,1754.487103,1761.923649,1770.360194,1773.79674,1778.233285,1795.346085,1813.974206,1825.847297,1837.720388,1850.59348,1863.466571,,,,,,,,,,,,,,,,,
67,2720,1208.201833,1221.789347,1229.99194,1237.194534,1245.397128,1252.599722,1260.802316,1268.004909,1275.207503,1282.410097,1288.612691,1295.815285,1309.219711,1324.009819,1333.415006,1341.820194,1351.225382,1359.630569,,,,,,,,,,,,,,,,,
68,2809,2169.920652,2196.678229,2206.646424,2217.614618,2229.582813,2240.551008,2252.519203,2263.487398,2274.455593,2284.423788,2296.391983,2309.360178,2335.249024,2363.974796,2375.911186,2388.847576,2402.783966,2415.720355,,,,,,,,,,,,,,,,,
69,2860,1153.469648,1153.922365,1158.72952,1164.536676,1172.343832,1180.150987,1188.958143,1196.765299,1205.572454,1213.37961,1218.186766,1221.993921,1221.270726,1222.530597,1228.144909,1234.75922,1243.373532,1251.987843,,,,,,,,,,,,,,,,,
70,2906,1666.219988,1690.893999,1697.276109,1702.658218,1710.040328,1716.422438,1723.804547,1731.186657,1737.568766,1744.950876,1751.332986,1757.715095,1782.317193,1808.373314,1816.137533,1822.901752,1831.665971,1839.43019,,,,,,,,,,,,,,,,,
71,2908,1412.263766,1436.623811,1443.961123,1450.298436,1458.635748,1466.973061,1475.310373,1481.647686,1486.984998,1492.322311,1497.659623,1501.996935,1524.598014,1550.295371,1558.969996,1566.644621,1576.319246,1585.993871,,,,,,,,,,,,,,,,,
72,2909,1426.122461,1440.49782,1444.39505,1447.292281,1450.189511,1454.086742,1456.983972,1460.881203,1465.778433,1470.675663,1476.572894,1483.470124,1501.489815,1516.762405,1521.556866,1525.351327,1529.145788,1533.940248,,,,,,,,,,,,,,,,,
73,3038,1573.307486,1612.115378,1615.349836,1618.584293,1621.81875,1625.053207,1628.287664,1631.522122,1634.756579,1638.991036,1639.225493,1638.459951,1677.001894,1717.044243,1721.513158,1725.982072,1730.450987,1734.919901,,,,,,,,,,,,,,,,,
74,3801,2031.96814,2060.246128,2064.468677,2067.691227,2071.913777,2076.136327,2080.358876,2086.581426,2092.803976,2099.026525,2104.249075,2109.471625,2134.662315,2164.162852,2169.607951,2174.053051,2179.49815,2184.943249,,,,,,,,,,,,,,,,,
75,3820,1502.624444,1526.167242,1531.416108,1536.664974,1541.913841,1547.162707,1552.411573,1558.66044,1565.909306,1572.158172,1578.407038,1584.655905,1607.529215,1632.320879,1638.818612,1645.316344,1651.814077,1658.31181,,,,,,,,,,,,,,,,,
76,6010,1141.249058,1144.495308,1148.050038,1151.604768,1155.159498,1158.714228,1162.268959,1166.823689,1171.378419,1175.933149,1180.48788,1184.04261,1187.846398,1191.647378,1195.756838,1199.866299,1203.975759,1208.08522,,,,,,,,,,,,,,,,,
77,6040,1238.204056,1246.648775,1249.191908,1251.735042,1253.278176,1255.82131,1258.364444,1260.907578,1264.450712,1267.993846,1271.53698,1275.080114,1283.827304,1292.815156,1295.901424,1298.987692,1301.073959,1304.160227,,,,,,,,,,,,,,,,,
78,6106,1206.570232,1215.701633,1218.272888,1220.844143,1221.415398,1221.986654,1223.557909,1226.129164,1229.700419,1233.271675,1238.84293,1244.414185,1254.555672,1264.258328,1267.400839,1270.543349,1271.68586,1272.82837,,,,,,,,,,,,,,,,,
79,6119,1536.485314,1546.481,1550.145124,1553.809247,1556.47337,1559.137494,1560.801617,1564.46574,1568.129863,1571.793987,1576.45811,1580.122233,1592.27167,1602.93148,1607.259727,1611.587973,1614.91622,1618.244467,,,,,,,,,,,,,,,,,
80,6401,1237.18343,1248.510315,1253.065251,1257.620186,1259.175122,1261.730058,1264.284994,1265.83993,1267.394865,1268.949801,1270.504737,1272.059673,1283.798039,1295.679859,1300.789731,1305.899603,1308.009474,1311.119346,,,,,,,,,,,,,,,,,
81,6457,1255.269521,1258.849181,1264.463553,1271.077925,1277.692298,1284.30667,1290.921043,1295.535415,1299.149787,1302.76416,1304.378532,1304.992904,1306.876798,1311.07083,1317.299574,1324.528319,1331.757064,1338.985808,,,,,,,,,,,,,,,,,
82,6460,1644.278691,1652.741092,1654.463572,1655.186053,1657.908534,1659.631014,1662.353495,1667.075976,1670.798456,1675.520937,1684.243418,1692.965899,1704.96707,1714.151952,1716.596913,1718.041874,1721.486836,1723.931797,,,,,,,,,,,,,,,,,
83,6484,1621.285702,1638.573056,1642.306933,1646.040811,1648.774688,1651.508566,1654.242443,1656.976321,1659.710198,1662.444075,1664.177953,1665.91183,1682.93141,1700.952641,1705.420396,1709.888151,1713.355906,1716.823661,,,,,,,,,,,,,,,,,
84,6492,1193.799997,1198.139249,1201.771294,1205.403338,1212.035383,1217.667427,1223.299472,1227.931516,1232.563561,1237.195605,1241.82765,1245.459694,1246.891735,1251.863032,1256.127121,1260.39121,1267.655299,1273.919388,,,,,,,,,,,,,,,,,
85,6511,1619.785699,1634.341797,1635.182096,1637.022394,1639.862693,1642.702991,1645.54329,1650.383589,1655.223887,1661.064186,1665.904484,1671.744783,1690.37078,1705.767177,1707.447774,1710.128372,1713.808969,1717.489566,,,,,,,,,,,,,,,,,
86,6512,1211.554973,1228.207274,1231.073127,1233.93898,1238.804833,1242.670686,1247.536539,1251.402393,1256.268246,1260.134099,1264.999952,1269.865805,1284.286631,1301.804785,1305.536491,1309.268197,1314.999903,1319.73161,,,,,,,,,,,,,,,,,
87,6514,1608.739921,1623.950917,1623.457094,1623.963271,1624.469448,1625.975625,1626.481802,1628.987979,1630.494156,1633.000333,1633.50651,1634.012687,1651.258785,1666.975958,1666.988312,1668.000666,1669.01302,1671.025374,,,,,,,,,,,,,,,,,
88,6515,1389.66819,1403.495773,1406.214894,1409.934014,1412.653134,1415.372254,1417.091374,1418.810494,1420.529615,1422.248735,1423.967855,1430.186975,1450.074285,1464.620989,1468.059229,1472.49747,1475.93571,1479.37395,,,,,,,,,,,,,,,,,
89,6516,1344.517675,1351.377563,1356.163557,1361.949551,1367.735545,1373.521539,1379.307533,1384.093527,1389.879521,1394.665515,1400.451509,1405.237503,1410.541172,1418.187055,1423.759043,1430.331031,1436.903019,1443.475007,,,,,,,,,,,,,,,,,
90,6517,1338.631824,1360.167577,1364.073982,1367.980387,1370.886792,1373.793197,1376.699602,1379.606008,1382.512413,1386.418818,1389.325223,1392.231628,1414.769858,1437.212015,1442.024825,1446.837636,1450.650446,1454.463256,,,,,,,,,,,,,,,,,
91,6604,1259.662276,1276.130986,1280.63963,1285.148273,1287.656917,1290.165561,1292.674204,1292.182848,1291.691492,1291.200135,1288.708779,1287.217422,1302.388342,1319.365696,1324.382983,1329.40027,1332.417558,1335.434845,,,,,,,,,,,,,,,,,
92,6605,1332.610408,1353.226764,1356.887404,1359.548045,1364.208685,1367.869326,1372.529967,1372.190607,1371.851248,1371.511888,1371.172529,1371.83317,1388.104219,1409.381214,1413.702496,1417.023777,1422.345058,1426.666339,,,,,,,,,,,,,,,,,
93,6606,1888.370395,1907.805468,1914.063078,1921.320687,1928.578296,1935.835905,1943.093514,1951.351123,1958.608733,1965.866342,1970.123951,1974.38156,1994.009564,2014.702247,2022.217465,2030.732683,2039.247902,2047.76312,,,,,,,,,,,,,,,,,
94,6615,1594.628957,1582.164591,1585.536708,1588.908826,1596.280944,1603.653061,1611.025179,1616.397297,1621.769414,1627.141532,1633.51365,1639.885768,1625.886842,1613.794594,1617.538829,1621.283064,1629.0273,1636.771535,,,,,,,,,,,,,,,,,
95,6705,1023.493378,1022.834078,1022.215367,1020.596656,1022.977944,1025.359233,1028.740522,1032.12181,1035.503099,1039.884388,1047.265677,1054.646965,1055.521632,1055.243621,1055.006198,1053.768776,1056.531353,1059.293931,,,,,,,,,,,,,,,,,
96,6708,895.966503,908.046479,912.677253,916.308027,920.9388,924.569574,929.200348,931.831122,934.461895,937.092669,938.723443,940.354216,948.951493,961.662243,966.92379,971.185338,976.446885,980.708433,,,,,,,,,,,,,,,,,
97,6810,1698.736661,1717.836177,1724.97092,1732.105662,1738.240404,1744.375146,1750.509888,1755.64463,1760.779373,1766.914115,1770.048857,1774.183599,1794.055002,1814.289261,1822.558745,1830.828229,1838.097714,1845.367198,,,,,,,,,,,,,,,,,
98,6824,2375.480989,2351.417086,2371.600881,2391.784677,2415.968473,2440.152268,2464.336064,2484.51986,2505.703655,2531.554118,2557.40458,2583.255043,2558.919827,2537.03972,2559.407311,2581.774902,2608.142494,2634.510085,,,,,,,,,,,,,,,,,
99,6825,1843.706788,1865.837295,1867.410409,1867.983522,1864.556636,1860.12975,1855.702863,1854.275977,1851.849091,1850.422204,1857.995318,1865.568431,1891.848333,1914.551954,1916.698181,1917.844408,1914.990636,1911.136863,,,,,,,,,,,,,,,,,
100,6830,3057.444635,3060.073211,3075.800241,3090.527271,3103.254302,3114.981332,3127.708362,3141.435393,3155.162423,3168.889453,3187.616483,3206.343514,3202.515179,3206.870785,3224.324846,3240.778906,3255.232967,3268.687027,,,,,,,,,,,,,,,,,
101,6850,2017.138434,2015.188046,2027.272814,2038.357582,2048.442349,2058.527117,2069.611885,2078.696653,2088.78142,2098.866188,2106.950956,2114.035724,2108.258925,2107.393305,2120.562841,2132.732376,2143.901912,2155.071447,,,,,,,,,,,,,,,,,
102,6851,2092.087434,2097.823,2101.354822,2104.886644,2105.418466,2105.950288,2105.48211,2108.013932,2109.545754,2112.077576,2118.609398,2126.141219,2136.760475,2143.027863,2147.091507,2151.155151,2152.218795,2153.282439,,,,,,,,,,,,,,,,,
103,6854,1841.093718,1850.357367,1853.129386,1856.901404,1860.673423,1864.445442,1867.217461,1871.989479,1875.761498,1880.533517,1886.305535,1893.077554,1905.943291,1915.978959,1919.522996,1924.067033,1928.611071,1933.155108,,,,,,,,,,,,,,,,,
