geo_id,nonfamily_households,family_households,median_year_structure_built,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,total_pop,male_pop,female_pop,median_age,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,not_hispanic_pop,commuters_by_public_transportation,households,median_income,income_per_capita,housing_units,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,median_rent,percent_income_spent_on_rent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_45_59_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,married_households,occupied_housing_units,housing_units_renter_occupied,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_including_hispanic,black_including_hispanic,amerindian_including_hispanic,asian_including_hispanic,commute_5_9_mins,commute_35_39_mins,commute_40_44_mins,commute_60_89_mins,commute_90_more_mins,households_retirement_income,armed_forces,civilian_labor_force,employed_pop,unemployed_pop,not_in_labor_force,pop_16_over,pop_in_labor_force,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,bachelors_degree_2,bachelors_degree_or_higher_25_64,children,children_in_single_female_hh,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,different_house_year_ago_different_city,different_house_year_ago_same_city,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,female_female_households,four_more_cars,gini_index,graduate_professional_degree,group_quarters,high_school_including_ged,households_public_asst_or_food_stamps,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,male_male_households,management_business_sci_arts_employed,no_car,no_cars,not_us_citizen_pop,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,one_car,two_cars,three_cars,pop_25_64,pop_determined_poverty_status,population_1_year_and_over,population_3_years_over,poverty,sales_office_employed,some_college_and_associates_degree,walked_to_work,worked_at_home,workers_16_and_over,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,pop_25_years_over,commute_35_44_mins,commute_60_more_mins,commute_less_10_mins,commuters_16_over,hispanic_any_race,pop_5_years_over,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english,pop_15_and_over,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,do_date
45019,58344,85361,1983,3956,18257,5023,2967,5147,5563,6465,6522,3167,1441,365162,177430,187732,36,,,,,,,,,2870,143705,48593,29590,172811,29106,6933,3026,794,34,85197,4738,56578,28598,14892,10460,3999,88,345,13706,2475,2475,27164,29319,31249,13488,23419,11376,3786645,13282,8558,6880,7806,7688,7058,7780,7134,7414,11529,14931,14714,8780,5043,7628,7480,966,131500,231800,391000,57201,143705,58508,102643,9672,5227,8966,15762,9928,5993,4273,10239,2081,35684,12166,12199,12497,8097,5553,5000,3130,3365,9060,15887,14082,10675,11703,11481,11713,10410,4417,6712,3312,4239,5922,3455,2939,1582,11214,11016,9409,5048,5044,3357,3865,8706,16494,14270,10686,11009,11895,13020,13266,5307,6058,3828,5599,6191,4935,3432,4083,244218,104574,706,4757,16413,3974,4464,2835,2402,26217,2303,194916,175943,18973,99546,296765,197219,,,6784,6157,761,627,14987,14321,63343,80021,75033,28311,2827,155329,14609,43,140720,44194,30770,1360,27198,12234,38340,11968,3368,12645,7894,8847,18987,21606,6085,5411,162,5605,0.4975,32347,12322,50641,16355,18194,13532,14144,89005,25278,30091,3123,9325,6478,1458,4620,9083,10646,44733,509,64403,7063,12051,9443,64403,13915,17508,43204,36913,55843,56259,13947,199085,353128,360714,351202,64194,43204,72180,6224,6688,175534,20103,63343,43547,15123,21281,36954,248602,8438,5237,19156,168846,,,,,,300730,117278,123071,9410,16135,32080,2012
26093,16035,50773,1986,762,1672,777,554,536,1215,1545,2246,1143,182,182838,91225,91613,41.3,,,,,,,,,397,66808,75719,32012,72882,6074,702,692,751,24.4,56176,156,42288,10776,8549,5668,2800,58,23,2227,515,515,8396,9963,8846,5025,11458,12140,2693460,2415,2031,2225,1968,2325,2720,2510,2793,2481,4609,6862,12391,8206,4860,4892,3520,922,124800,177900,253200,42188,66808,10632,58904,3205,873,1256,1820,2267,514,523,3520,309,13956,6332,4563,5799,7576,4629,2710,1328,739,2832,4293,4734,5624,6227,7745,8265,7612,2241,3085,1788,2956,2636,1360,1342,1141,4427,5856,6762,4309,2158,1611,854,2206,4087,4870,5319,6920,7957,8080,7341,2605,3253,1979,2417,3141,1631,1713,2117,176763,725,624,1503,5979,3269,5832,8998,1944,16222,0,97138,90350,6788,47915,145053,97138,,,,,142,194,15512,12641,28446,36477,43921,5616,331,81427,7862,66,73565,16465,918,1008,7196,6043,18340,5613,1386,16148,4691,3396,11437,9748,2502,2842,269,6679,0.3835,14269,1180,31448,4794,10134,11525,11559,49391,9986,7566,2605,6823,3792,198,1260,7069,7201,28948,250,33419,595,1370,1876,33419,8447,10244,24402,13838,16855,29709,12195,100258,181669,181311,178023,11213,24402,42750,636,4650,88143,10993,28446,27445,9492,11315,22265,124479,,,,,,,,,,147855,36194,87477,2116,6729,14673,2012
26147,20823,44252,1973,924,4909,1286,727,1258,2089,2175,1447,871,300,160644,79322,81322,42.6,,,,,,,,,634,65075,44518,24019,71509,6434,1084,711,536,32.6,49089,473,31128,9860,5768,4212,1226,270,60,4092,711,652,7407,7704,8147,3748,6716,7426,1770925,5161,4532,4577,3788,3715,3540,3868,3790,2772,5450,7094,6713,4888,1992,1819,1376,668,73300,118000,180800,33345,65075,15986,54727,1965,2217,2376,1948,1464,501,1265,5046,40,8841,12945,4345,5623,5202,3698,1998,1298,906,2562,3956,4293,3936,5623,6406,6908,5552,1810,3975,1775,2156,2885,1785,1803,827,4038,5448,4774,3239,2333,795,1207,2284,3974,4176,4143,5885,6705,6616,5983,2541,3235,2182,2618,2488,2608,1788,2262,150393,3981,271,1113,7612,1676,2621,5907,1557,15964,0,78255,68126,10129,51097,129352,78255,,,,,303,89,12364,10895,10881,14934,36367,8936,588,61073,9587,46,51486,21862,3151,672,5846,5371,14177,3354,806,14866,3194,2351,8346,5183,3019,941,72,4271,0.4428,6639,1731,40307,13895,8930,8133,9097,38774,7665,12260,1736,2397,1292,726,1778,9102,7620,24651,53,17505,2402,5875,1544,17505,7464,13122,16907,13128,19583,24732,10614,85717,158401,159540,156228,25564,16907,40807,1017,2555,66016,11433,10881,35688,11772,5348,17602,110894,,,,,,,,,,131214,34517,69974,1933,8294,15769,2012
25015,24064,33684,1966,608,5562,868,1223,1632,2878,1812,2351,1164,559,159795,74902,84893,36.7,,,,,,,,,,57748,59065,28458,62712,4964,1356,643,760,30.8,39091,140,26847,6966,5391,3937,825,277,352,1575,215,215,13567,10636,10035,5157,10124,3875,1686720,4009,3287,2498,2687,3036,2951,2080,1872,2558,4337,5750,7749,5873,3528,2742,2791,862,191800,257300,354400,25579,57748,18657,39221,2843,5338,4554,3449,2815,2356,1343,793,487,4217,18476,2901,3254,4277,2577,6937,2376,3719,2736,4137,3655,4177,3839,5087,5682,4982,2415,2863,1341,2049,2250,1278,1593,777,2804,2936,3840,2463,9829,3221,3827,2884,4789,3709,4547,4813,5441,5702,6254,2539,2648,2268,1627,2411,2216,1711,2414,143516,4090,214,7088,10530,2551,2242,2050,1605,11014,56,90238,82663,7575,47707,138001,90294,,,,,234,364,9323,9552,20825,36426,25052,6526,2689,61238,4314,128,56924,21307,3369,1066,6438,4265,35476,4110,1196,5933,2916,3768,8078,5815,2095,1507,1019,3887,0.4422,22632,23205,24515,6425,5446,6319,7413,57094,30995,5831,1746,4219,3849,169,1277,6183,3586,21029,128,38377,2619,4512,6578,38377,5988,6299,16679,15320,20719,21882,6748,77279,136508,158847,156705,19068,16679,25411,8520,5956,80213,7755,20825,21524,4684,14331,12972,99214,,,,,,,,,,139783,60948,54404,2688,6233,13951,2012
18105,26931,27043,1980,2113,9562,1966,1240,2140,2944,1630,1378,1705,340,141019,69626,71393,28,,,,,,,,,2618,53974,38435,22586,59381,5407,1449,429,680,40.4,28956,245,18701,8049,5720,2354,2920,252,194,2329,595,546,16653,11148,8039,2184,5636,1760,1180220,7237,3462,2936,4736,2814,3318,3588,2753,1970,3334,4780,5848,2810,1415,1517,1456,816,110100,156800,229800,19192,53974,25018,31501,4306,2136,4083,6058,4820,2462,1208,2807,978,10283,5110,3318,3233,3314,1618,6076,4083,3623,6724,5887,4252,3835,3651,3266,3602,3737,1397,1518,1122,1329,1406,1195,918,522,3670,3452,2473,1780,5759,3606,3628,7171,5036,4231,3621,3445,3615,4141,3578,1720,1907,1453,1330,1644,1926,980,1227,122783,3982,639,9069,8604,566,1224,1485,1342,8249,0,73951,67466,6485,46350,120301,73951,,,,,,,6463,6344,15803,26828,22858,6240,2385,51897,7180,233,44717,25982,18009,582,7857,3114,22283,3141,1127,7307,4730,3004,7737,4601,1575,408,475,2303,0.5028,16903,14302,19066,5682,5248,4312,4858,60271,34161,5569,1054,2607,2820,259,527,4089,2164,13520,208,26101,2054,3655,9753,26101,5825,6917,14076,14547,22107,18790,7119,62439,126724,138725,136324,31904,14076,20150,5869,3822,66092,5336,15803,14829,4200,11941,10614,77491,,,,,,,,,,121559,58805,41462,828,4744,14627,2012
09005,25634,49959,1964,1919,3059,1131,1311,1944,2237,1400,2058,1661,599,187530,92847,94683,45.6,,,,,,,,,1124,75593,67658,34898,87408,11815,286,339,758,29.4,58274,1412,40543,10076,6617,4847,1594,176,0,3459,1500,1500,14241,11543,12768,5911,8541,7649,2445290,3000,2849,3148,2493,2621,3129,3895,3101,2943,6379,7935,10741,9255,5325,4974,3805,907,170200,248400,366200,40060,75593,17319,64546,2931,6309,4655,3290,2522,1340,1397,418,71,6497,23116,5197,5501,5729,4153,2313,601,966,2940,4110,4832,4453,6306,8115,8752,7468,3457,3646,2329,2984,3110,2700,1828,1357,3413,4476,6248,3793,1949,711,868,2761,4061,4620,4971,6867,7974,8845,8637,3293,3090,3632,2386,3570,2874,1987,3657,176068,1976,453,3687,10222,3513,4772,7001,2290,14090,0,108956,100105,8851,45102,154058,108956,,,,,910,126,15139,13921,24744,34783,38510,5581,648,88949,8015,100,80934,12825,3564,837,7851,9556,26996,7697,2256,10736,4259,3003,11243,9846,3751,2074,241,5399,0.4214,18954,3338,41155,5923,7662,9783,10932,41623,6704,12872,1978,5550,4440,760,2123,9757,6830,31438,184,38441,1772,4400,4593,38441,11115,9931,22090,18528,21988,31769,12037,103497,185134,185988,182698,11916,22090,38186,2369,4869,97872,11579,24744,36849,9319,14417,17288,135911,,,,,,,,,,156966,43295,83852,1310,8915,16668,2012
24013,17465,42565,1982,866,2575,684,815,651,1087,924,1637,1589,382,167217,82713,84504,42,,,,,,,,,926,60030,80028,34104,62565,2535,,,890,27.9,48820,773,36117,9662,7048,4408,2640,0,0,2614,776,760,7999,7170,7857,3865,11049,13030,2811055,1301,1753,1791,2452,1950,2347,2550,2969,1266,4330,5373,9065,7845,5471,6087,3480,1001,237200,321900,409600,35247,60030,11210,48997,5931,1475,1454,662,1804,717,1052,473,369,9829,7707,4701,4673,6743,3866,2470,745,1810,2906,4576,3854,4344,5679,7230,7437,5288,2119,3624,1877,2447,2460,1620,1324,920,3852,4944,6477,3744,2317,1132,1128,3071,3768,4303,3829,6753,7613,7292,5171,2927,2943,1718,1841,3303,2345,1948,2085,155586,5567,270,2781,7142,3022,5976,10412,3384,13777,76,94009,87808,6201,39732,133817,94085,,,762,451,,,13614,10374,24391,32087,39000,4668,249,80427,8626,530,71801,,,1301,7320,9260,18433,6005,1794,5822,4287,6380,10072,11323,4070,1741,380,7594,0.3858,12322,3333,36697,4298,7989,9491,9687,45020,10401,8129,1532,5580,3103,385,1786,8617,4695,25698,15,36287,986,2609,2801,36287,9860,7590,20729,13342,15173,22664,11990,88750,163721,,162433,10179,20729,31099,860,3310,86099,7803,24391,33151,9301,9906,13995,112638,,,,,,,,,,135827,38085,73797,2762,7524,12745,2012
42125,29859,54650,1963,1841,4067,1257,1038,1452,1888,2203,3063,2837,1283,208716,101945,106771,44,,,,,,,,,1254,84509,54061,29557,93336,8827,691,920,508,25.4,63580,201,37052,12013,8695,6228,2176,106,185,3318,1208,975,13811,11716,12530,6949,10842,8247,2514470,5183,4476,4948,4305,3620,3724,4448,4115,3543,8437,9167,10141,6969,4561,3550,3322,628,85900,150600,234700,44139,84509,20929,68709,5634,3919,2778,2675,1138,1648,2373,4442,635,10299,24424,5612,6095,5665,4076,2814,1954,1031,3575,5288,5290,5952,7161,7203,8330,8223,3617,3941,3175,2110,3929,2926,2628,1350,4691,5875,6099,3877,2800,1624,828,3747,4879,5582,5108,7883,7778,8593,8500,2923,4460,2606,3098,4799,3460,3437,4124,196349,5538,0,1307,10535,3408,4534,6520,2220,19475,68,107654,100392,7262,64222,171944,107722,,,,,,,14903,14722,25408,33471,41990,7729,786,89739,7223,183,82516,,,2570,10237,8453,25527,4819,1927,10493,4169,3477,11299,9486,5406,2529,119,4619,0.4471,13697,5174,59238,10533,9576,9465,10172,48324,10029,12969,3126,5490,2537,474,1825,12557,5305,31314,28,32596,2657,6803,2184,32596,10541,12217,26352,18686,26695,33035,13357,110711,203853,,203849,21458,26352,37041,2561,3917,98300,13012,25408,54643,7602,10539,16427,148353,,,,,,,,,,174679,46358,91528,3070,13968,19551,2012
27109,19453,37646,1980,452,3470,1721,833,1333,1453,1648,2055,1822,544,147066,71218,75848,36.3,,,,,,,,,3419,57099,63803,31839,60999,3900,,,688,29.7,41768,338,29274,12536,9012,6490,2391,66,65,3524,1417,1240,21380,18208,10126,2886,3707,1729,1292705,3047,1816,2350,2245,2299,1974,2676,3411,2148,4679,6669,8552,5981,2750,3812,2690,780,128300,168400,254500,29759,57099,15331,40877,4296,1032,2479,1737,1754,2903,3685,2236,875,12524,6274,5114,5238,4907,3002,1558,664,980,2427,4818,6128,5452,3986,4830,5385,4264,1247,2731,984,1523,2276,1311,1379,1014,5549,5441,4568,2862,1781,813,652,2664,5118,6088,4538,4213,5215,6064,4692,1740,2866,1634,1480,2327,2005,1737,1801,126589,7144,128,8902,11394,499,763,1043,1237,10049,49,82096,79836,2260,31866,114011,82145,302,159,401,241,283,208,9219,7634,24558,34509,36681,7265,3304,68257,8283,115,59974,11545,10086,1615,5550,3647,35618,2896,1795,6280,2197,1751,8637,6153,2297,1400,50,3783,0.4216,14690,3027,20925,4646,8774,7300,8277,38456,6998,5998,2218,4760,2625,282,602,3513,4457,18457,152,38153,1456,3826,7986,38153,5299,7197,16233,12954,17593,23507,8390,79375,144303,144724,140784,15138,16233,32675,2529,2802,78400,12629,24558,18370,6953,8236,13093,98846,1262,2280,14020,75598,,,,,,116249,34327,62572,1732,4667,11582,2012
50007,26916,36106,1975,1096,5930,1387,1217,1424,3090,3954,2390,1691,109,158504,77585,80919,36.5,,,,,,,,,1789,63022,63686,32149,66425,3403,494,411,884,29,40734,310,30086,9585,6706,4005,2395,155,151,2879,627,377,15144,14344,13671,7543,8292,3705,1639175,3730,3281,1816,2482,2612,2786,2238,3682,2176,4613,6918,10316,6532,3801,2799,3240,983,205600,267100,359400,28703,63022,22288,36495,4753,5254,5783,6094,1679,1932,2186,2097,451,7306,15471,3970,4114,4827,2588,3952,2097,1904,4633,5777,4983,4240,5025,5417,5990,5501,1340,3004,1271,1575,2035,1449,834,1059,3434,3689,4293,3068,4637,1862,3217,3547,5487,5012,3417,5802,5649,6681,5792,2007,2315,1801,1305,2631,1809,1489,1975,145912,3938,592,4690,9358,1280,1913,1385,835,9092,68,94929,88995,5934,37376,132373,94997,240,133,,,,,10748,9204,31276,42373,29983,6313,1753,69593,8248,36,61345,23052,7256,890,9066,3798,25210,5041,3004,9324,3690,3526,11095,10583,2038,1730,393,3369,0.4309,18467,9853,23011,7997,5576,7563,8053,47299,19412,6000,1880,5838,3908,211,521,5902,2992,21252,304,44008,2048,4379,5231,44008,5970,6063,18695,14259,21166,26583,7525,83439,148707,157017,154188,17565,18695,23918,6585,6518,86924,9788,31276,19977,3964,12783,10166,102672,,,,,,,,,,134177,52667,60078,2156,5533,12527,2012
