,state,county,candidate,party,total_votes,won,county_st,just_co
3943,Kansas,Sherman County,Joe Biden,DEM,386,False,"Sherman County, Kansas",Sherman 
3944,Kansas,Sherman County,Jo Jorgensen,LIB,60,False,"Sherman County, Kansas",Sherman 
3945,Kansas,Sherman County, Write-ins,WRI,5,False,"Sherman County, Kansas",Sherman 
3946,Kansas,Smith County,Donald Trump,REP,1734,True,"Smith County, Kansas",Smith 
3947,Kansas,Smith County,Joe Biden,DEM,328,False,"Smith County, Kansas",Smith 
3948,Kansas,Smith County,Jo Jorgensen,LIB,30,False,"Smith County, Kansas",Smith 
3949,Kansas,Stafford County,Donald Trump,REP,1631,True,"Stafford County, Kansas",Stafford 
3950,Kansas,Stafford County,Joe Biden,DEM,355,False,"Stafford County, Kansas",Stafford 
3951,Kansas,Stafford County,Jo Jorgensen,LIB,31,False,"Stafford County, Kansas",Stafford 
3952,Kansas,Stanton County,Donald Trump,REP,607,True,"Stanton County, Kansas",Stanton 
3953,Kansas,Stanton County,Joe Biden,DEM,147,False,"Stanton County, Kansas",Stanton 
3954,Kansas,Stanton County,Jo Jorgensen,LIB,13,False,"Stanton County, Kansas",Stanton 
3955,Kansas,Stevens County,Donald Trump,REP,1731,True,"Stevens County, Kansas",Stevens 
3956,Kansas,Stevens County,Joe Biden,DEM,233,False,"Stevens County, Kansas",Stevens 
3957,Kansas,Stevens County,Jo Jorgensen,LIB,33,False,"Stevens County, Kansas",Stevens 
3958,Kansas,Sumner County,Donald Trump,REP,7998,True,"Sumner County, Kansas",Sumner 
3959,Kansas,Sumner County,Joe Biden,DEM,2551,False,"Sumner County, Kansas",Sumner 
3960,Kansas,Sumner County,Jo Jorgensen,LIB,230,False,"Sumner County, Kansas",Sumner 
3961,Kansas,Thomas County,Donald Trump,REP,3106,True,"Thomas County, Kansas",Thomas 
3962,Kansas,Thomas County,Joe Biden,DEM,622,False,"Thomas County, Kansas",Thomas 
3963,Kansas,Thomas County,Jo Jorgensen,LIB,54,False,"Thomas County, Kansas",Thomas 
3964,Kansas,Thomas County, Write-ins,WRI,12,False,"Thomas County, Kansas",Thomas 
3965,Kansas,Trego County,Donald Trump,REP,1341,True,"Trego County, Kansas",Trego 
3966,Kansas,Trego County,Joe Biden,DEM,238,False,"Trego County, Kansas",Trego 
3967,Kansas,Trego County,Jo Jorgensen,LIB,24,False,"Trego County, Kansas",Trego 
3968,Kansas,Wabaunsee County,Donald Trump,REP,2813,True,"Wabaunsee County, Kansas",Wabaunsee 
3969,Kansas,Wabaunsee County,Joe Biden,DEM,956,False,"Wabaunsee County, Kansas",Wabaunsee 
3970,Kansas,Wabaunsee County,Jo Jorgensen,LIB,92,False,"Wabaunsee County, Kansas",Wabaunsee 
3971,Kansas,Wallace County,Donald Trump,REP,762,True,"Wallace County, Kansas",Wallace 
3972,Kansas,Wallace County,Joe Biden,DEM,44,False,"Wallace County, Kansas",Wallace 
3973,Kansas,Wallace County,Jo Jorgensen,LIB,11,False,"Wallace County, Kansas",Wallace 
3974,Kansas,Washington County,Donald Trump,REP,2332,True,"Washington County, Kansas",Washington 
3975,Kansas,Washington County,Joe Biden,DEM,467,False,"Washington County, Kansas",Washington 
3976,Kansas,Washington County,Jo Jorgensen,LIB,44,False,"Washington County, Kansas",Washington 
3977,Kansas,Wichita County,Donald Trump,REP,803,True,"Wichita County, Kansas",Wichita 
3978,Kansas,Wichita County,Joe Biden,DEM,147,False,"Wichita County, Kansas",Wichita 
3979,Kansas,Wichita County,Jo Jorgensen,LIB,11,False,"Wichita County, Kansas",Wichita 
3980,Kansas,Wichita County, Write-ins,WRI,0,False,"Wichita County, Kansas",Wichita 
3981,Kansas,Wilson County,Donald Trump,REP,3111,True,"Wilson County, Kansas",Wilson 
3982,Kansas,Wilson County,Joe Biden,DEM,711,False,"Wilson County, Kansas",Wilson 
3983,Kansas,Wilson County,Jo Jorgensen,LIB,77,False,"Wilson County, Kansas",Wilson 
3984,Kansas,Woodson County,Donald Trump,REP,1189,True,"Woodson County, Kansas",Woodson 
3985,Kansas,Woodson County,Joe Biden,DEM,283,False,"Woodson County, Kansas",Woodson 
3986,Kansas,Woodson County,Jo Jorgensen,LIB,23,False,"Woodson County, Kansas",Woodson 
3987,Kansas,Wyandotte County,Joe Biden,DEM,35566,True,"Wyandotte County, Kansas",Wyandotte 
3988,Kansas,Wyandotte County,Donald Trump,REP,18512,False,"Wyandotte County, Kansas",Wyandotte 
3989,Kansas,Wyandotte County,Jo Jorgensen,LIB,1029,False,"Wyandotte County, Kansas",Wyandotte 
3990,Kentucky,Adair County,Donald Trump,REP,7276,True,"Adair County, Kentucky",Adair 
3991,Kentucky,Adair County,Joe Biden,DEM,1392,False,"Adair County, Kentucky",Adair 
3992,Kentucky,Adair County,Jo Jorgensen,LIB,60,False,"Adair County, Kentucky",Adair 
3993,Kentucky,Adair County,Kanye West,IND,25,False,"Adair County, Kentucky",Adair 
3994,Kentucky,Adair County,Brock Pierce,IND,10,False,"Adair County, Kentucky",Adair 
3995,Kentucky,Adair County, Write-ins,WRI,5,False,"Adair County, Kentucky",Adair 
3996,Kentucky,Allen County,Donald Trump,REP,7587,True,"Allen County, Kentucky",Allen 
3997,Kentucky,Allen County,Joe Biden,DEM,1642,False,"Allen County, Kentucky",Allen 
3998,Kentucky,Allen County,Jo Jorgensen,LIB,99,False,"Allen County, Kentucky",Allen 
3999,Kentucky,Allen County,Kanye West,IND,22,False,"Allen County, Kentucky",Allen 
4000,Kentucky,Allen County,Brock Pierce,IND,14,False,"Allen County, Kentucky",Allen 
4001,Kentucky,Allen County, Write-ins,WRI,0,False,"Allen County, Kentucky",Allen 
4002,Kentucky,Anderson County,Donald Trump,REP,9661,True,"Anderson County, Kentucky",Anderson 
4003,Kentucky,Anderson County,Joe Biden,DEM,3348,False,"Anderson County, Kentucky",Anderson 
4004,Kentucky,Anderson County,Jo Jorgensen,LIB,184,False,"Anderson County, Kentucky",Anderson 
4005,Kentucky,Anderson County,Kanye West,IND,34,False,"Anderson County, Kentucky",Anderson 
4006,Kentucky,Anderson County,Brock Pierce,IND,19,False,"Anderson County, Kentucky",Anderson 
4007,Kentucky,Anderson County, Write-ins,WRI,8,False,"Anderson County, Kentucky",Anderson 
4008,Kentucky,Ballard County,Donald Trump,REP,3356,True,"Ballard County, Kentucky",Ballard 
4009,Kentucky,Ballard County,Joe Biden,DEM,825,False,"Ballard County, Kentucky",Ballard 
4010,Kentucky,Ballard County,Jo Jorgensen,LIB,32,False,"Ballard County, Kentucky",Ballard 
4011,Kentucky,Ballard County,Kanye West,IND,10,False,"Ballard County, Kentucky",Ballard 
4012,Kentucky,Ballard County,Brock Pierce,IND,2,False,"Ballard County, Kentucky",Ballard 
4013,Kentucky,Ballard County, Write-ins,WRI,0,False,"Ballard County, Kentucky",Ballard 
4014,Kentucky,Barren County,Donald Trump,REP,14654,True,"Barren County, Kentucky",Barren 
4015,Kentucky,Barren County,Joe Biden,DEM,5127,False,"Barren County, Kentucky",Barren 
4016,Kentucky,Barren County,Jo Jorgensen,LIB,201,False,"Barren County, Kentucky",Barren 
4017,Kentucky,Barren County,Kanye West,IND,52,False,"Barren County, Kentucky",Barren 
4018,Kentucky,Barren County,Brock Pierce,IND,21,False,"Barren County, Kentucky",Barren 
4019,Kentucky,Barren County, Write-ins,WRI,9,False,"Barren County, Kentucky",Barren 
4020,Kentucky,Bath County,Donald Trump,REP,3986,True,"Bath County, Kentucky",Bath 
4021,Kentucky,Bath County,Joe Biden,DEM,1573,False,"Bath County, Kentucky",Bath 
4022,Kentucky,Bath County,Jo Jorgensen,LIB,44,False,"Bath County, Kentucky",Bath 
4023,Kentucky,Bath County,Brock Pierce,IND,12,False,"Bath County, Kentucky",Bath 
4024,Kentucky,Bath County,Kanye West,IND,12,False,"Bath County, Kentucky",Bath 
4025,Kentucky,Bath County, Write-ins,WRI,0,False,"Bath County, Kentucky",Bath 
4026,Kentucky,Bell County,Donald Trump,REP,8140,True,"Bell County, Kentucky",Bell 
4027,Kentucky,Bell County,Joe Biden,DEM,1789,False,"Bell County, Kentucky",Bell 
4028,Kentucky,Bell County,Jo Jorgensen,LIB,78,False,"Bell County, Kentucky",Bell 
4029,Kentucky,Bell County,Kanye West,IND,30,False,"Bell County, Kentucky",Bell 
4030,Kentucky,Bell County,Brock Pierce,IND,7,False,"Bell County, Kentucky",Bell 
4031,Kentucky,Bell County, Write-ins,WRI,0,False,"Bell County, Kentucky",Bell 
4032,Kentucky,Boone County,Donald Trump,REP,44814,True,"Boone County, Kentucky",Boone 
4033,Kentucky,Boone County,Joe Biden,DEM,20901,False,"Boone County, Kentucky",Boone 
4034,Kentucky,Boone County,Jo Jorgensen,LIB,981,False,"Boone County, Kentucky",Boone 
4035,Kentucky,Boone County,Kanye West,IND,171,False,"Boone County, Kentucky",Boone 
4036,Kentucky,Boone County,Brock Pierce,IND,93,False,"Boone County, Kentucky",Boone 
4037,Kentucky,Boone County, Write-ins,WRI,38,False,"Boone County, Kentucky",Boone 
4038,Kentucky,Bourbon County,Donald Trump,REP,6190,True,"Bourbon County, Kentucky",Bourbon 
4039,Kentucky,Bourbon County,Joe Biden,DEM,3296,False,"Bourbon County, Kentucky",Bourbon 
4040,Kentucky,Bourbon County,Jo Jorgensen,LIB,106,False,"Bourbon County, Kentucky",Bourbon 
4041,Kentucky,Bourbon County,Kanye West,IND,31,False,"Bourbon County, Kentucky",Bourbon 
4042,Kentucky,Bourbon County,Brock Pierce,IND,20,False,"Bourbon County, Kentucky",Bourbon 
4043,Kentucky,Bourbon County, Write-ins,WRI,5,False,"Bourbon County, Kentucky",Bourbon 
4044,Kentucky,Boyd County,Donald Trump,REP,14295,True,"Boyd County, Kentucky",Boyd 
4045,Kentucky,Boyd County,Joe Biden,DEM,7083,False,"Boyd County, Kentucky",Boyd 
4046,Kentucky,Boyd County,Jo Jorgensen,LIB,287,False,"Boyd County, Kentucky",Boyd 
4047,Kentucky,Boyd County,Kanye West,IND,55,False,"Boyd County, Kentucky",Boyd 
4048,Kentucky,Boyd County,Brock Pierce,IND,21,False,"Boyd County, Kentucky",Boyd 
4049,Kentucky,Boyd County, Write-ins,WRI,10,False,"Boyd County, Kentucky",Boyd 
4050,Kentucky,Boyle County,Donald Trump,REP,8872,True,"Boyle County, Kentucky",Boyle 
4051,Kentucky,Boyle County,Joe Biden,DEM,5298,False,"Boyle County, Kentucky",Boyle 
4052,Kentucky,Boyle County,Jo Jorgensen,LIB,210,False,"Boyle County, Kentucky",Boyle 
4053,Kentucky,Boyle County,Kanye West,IND,63,False,"Boyle County, Kentucky",Boyle 
4054,Kentucky,Boyle County,Brock Pierce,IND,24,False,"Boyle County, Kentucky",Boyle 
4055,Kentucky,Boyle County, Write-ins,WRI,11,False,"Boyle County, Kentucky",Boyle 
4056,Kentucky,Bracken County,Donald Trump,REP,3398,True,"Bracken County, Kentucky",Bracken 
4057,Kentucky,Bracken County,Joe Biden,DEM,800,False,"Bracken County, Kentucky",Bracken 
4058,Kentucky,Bracken County,Jo Jorgensen,LIB,27,False,"Bracken County, Kentucky",Bracken 
4059,Kentucky,Bracken County,Kanye West,IND,11,False,"Bracken County, Kentucky",Bracken 
4060,Kentucky,Bracken County,Brock Pierce,IND,8,False,"Bracken County, Kentucky",Bracken 
4061,Kentucky,Bracken County, Write-ins,WRI,2,False,"Bracken County, Kentucky",Bracken 
4062,Kentucky,Breathitt County,Donald Trump,REP,4265,True,"Breathitt County, Kentucky",Breathitt 
4063,Kentucky,Breathitt County,Joe Biden,DEM,1301,False,"Breathitt County, Kentucky",Breathitt 
4064,Kentucky,Breathitt County,Jo Jorgensen,LIB,52,False,"Breathitt County, Kentucky",Breathitt 
4065,Kentucky,Breathitt County,Kanye West,IND,31,False,"Breathitt County, Kentucky",Breathitt 
4066,Kentucky,Breathitt County,Brock Pierce,IND,12,False,"Breathitt County, Kentucky",Breathitt 
4067,Kentucky,Breathitt County, Write-ins,WRI,0,False,"Breathitt County, Kentucky",Breathitt 
4068,Kentucky,Breckinridge County,Donald Trump,REP,7701,True,"Breckinridge County, Kentucky",Breckinridge 
4069,Kentucky,Breckinridge County,Joe Biden,DEM,2350,False,"Breckinridge County, Kentucky",Breckinridge 
4070,Kentucky,Breckinridge County,Jo Jorgensen,LIB,103,False,"Breckinridge County, Kentucky",Breckinridge 
4071,Kentucky,Breckinridge County,Kanye West,IND,24,False,"Breckinridge County, Kentucky",Breckinridge 
4072,Kentucky,Breckinridge County,Brock Pierce,IND,19,False,"Breckinridge County, Kentucky",Breckinridge 
4073,Kentucky,Breckinridge County, Write-ins,WRI,4,False,"Breckinridge County, Kentucky",Breckinridge 
4074,Kentucky,Bullitt County,Donald Trump,REP,30708,True,"Bullitt County, Kentucky",Bullitt 
4075,Kentucky,Bullitt County,Joe Biden,DEM,10552,False,"Bullitt County, Kentucky",Bullitt 
4076,Kentucky,Bullitt County,Jo Jorgensen,LIB,563,False,"Bullitt County, Kentucky",Bullitt 
4077,Kentucky,Bullitt County,Kanye West,IND,87,False,"Bullitt County, Kentucky",Bullitt 
4078,Kentucky,Bullitt County,Brock Pierce,IND,55,False,"Bullitt County, Kentucky",Bullitt 
4079,Kentucky,Bullitt County, Write-ins,WRI,33,False,"Bullitt County, Kentucky",Bullitt 
4080,Kentucky,Butler County,Donald Trump,REP,4960,True,"Butler County, Kentucky",Butler 
4081,Kentucky,Butler County,Joe Biden,DEM,1079,False,"Butler County, Kentucky",Butler 
4082,Kentucky,Butler County,Jo Jorgensen,LIB,63,False,"Butler County, Kentucky",Butler 
4083,Kentucky,Butler County,Brock Pierce,IND,12,False,"Butler County, Kentucky",Butler 
4084,Kentucky,Butler County,Kanye West,IND,8,False,"Butler County, Kentucky",Butler 
4085,Kentucky,Butler County, Write-ins,WRI,3,False,"Butler County, Kentucky",Butler 
4086,Kentucky,Caldwell County,Donald Trump,REP,4906,True,"Caldwell County, Kentucky",Caldwell 
4087,Kentucky,Caldwell County,Joe Biden,DEM,1433,False,"Caldwell County, Kentucky",Caldwell 
4088,Kentucky,Caldwell County,Jo Jorgensen,LIB,58,False,"Caldwell County, Kentucky",Caldwell 
4089,Kentucky,Caldwell County,Kanye West,IND,22,False,"Caldwell County, Kentucky",Caldwell 
4090,Kentucky,Caldwell County,Brock Pierce,IND,9,False,"Caldwell County, Kentucky",Caldwell 
4091,Kentucky,Caldwell County, Write-ins,WRI,6,False,"Caldwell County, Kentucky",Caldwell 
4092,Kentucky,Calloway County,Donald Trump,REP,11352,True,"Calloway County, Kentucky",Calloway 
4093,Kentucky,Calloway County,Joe Biden,DEM,5797,False,"Calloway County, Kentucky",Calloway 
4094,Kentucky,Calloway County,Jo Jorgensen,LIB,227,False,"Calloway County, Kentucky",Calloway 
4095,Kentucky,Calloway County,Kanye West,IND,44,False,"Calloway County, Kentucky",Calloway 
4096,Kentucky,Calloway County,Brock Pierce,IND,27,False,"Calloway County, Kentucky",Calloway 
4097,Kentucky,Calloway County, Write-ins,WRI,10,False,"Calloway County, Kentucky",Calloway 
4098,Kentucky,Campbell County,Donald Trump,REP,28482,True,"Campbell County, Kentucky",Campbell 
4099,Kentucky,Campbell County,Joe Biden,DEM,19374,False,"Campbell County, Kentucky",Campbell 
4100,Kentucky,Campbell County,Jo Jorgensen,LIB,763,False,"Campbell County, Kentucky",Campbell 
4101,Kentucky,Campbell County,Kanye West,IND,133,False,"Campbell County, Kentucky",Campbell 
4102,Kentucky,Campbell County,Brock Pierce,IND,82,False,"Campbell County, Kentucky",Campbell 
4103,Kentucky,Campbell County, Write-ins,WRI,44,False,"Campbell County, Kentucky",Campbell 
4104,Kentucky,Carlisle County,Donald Trump,REP,2159,True,"Carlisle County, Kentucky",Carlisle 
4105,Kentucky,Carlisle County,Joe Biden,DEM,463,False,"Carlisle County, Kentucky",Carlisle 
4106,Kentucky,Carlisle County,Jo Jorgensen,LIB,15,False,"Carlisle County, Kentucky",Carlisle 
4107,Kentucky,Carlisle County,Kanye West,IND,1,False,"Carlisle County, Kentucky",Carlisle 
4108,Kentucky,Carlisle County,Brock Pierce,IND,0,False,"Carlisle County, Kentucky",Carlisle 
4109,Kentucky,Carlisle County, Write-ins,WRI,0,False,"Carlisle County, Kentucky",Carlisle 
4110,Kentucky,Carroll County,Donald Trump,REP,2954,True,"Carroll County, Kentucky",Carroll 
4111,Kentucky,Carroll County,Joe Biden,DEM,1116,False,"Carroll County, Kentucky",Carroll 
4112,Kentucky,Carroll County,Jo Jorgensen,LIB,44,False,"Carroll County, Kentucky",Carroll 
4113,Kentucky,Carroll County,Kanye West,IND,13,False,"Carroll County, Kentucky",Carroll 
4114,Kentucky,Carroll County,Brock Pierce,IND,8,False,"Carroll County, Kentucky",Carroll 
4115,Kentucky,Carroll County, Write-ins,WRI,1,False,"Carroll County, Kentucky",Carroll 
4116,Kentucky,Carter County,Donald Trump,REP,8775,True,"Carter County, Kentucky",Carter 
4117,Kentucky,Carter County,Joe Biden,DEM,2642,False,"Carter County, Kentucky",Carter 
4118,Kentucky,Carter County,Jo Jorgensen,LIB,107,False,"Carter County, Kentucky",Carter 
4119,Kentucky,Carter County,Kanye West,IND,45,False,"Carter County, Kentucky",Carter 
4120,Kentucky,Carter County,Brock Pierce,IND,16,False,"Carter County, Kentucky",Carter 
4121,Kentucky,Carter County, Write-ins,WRI,1,False,"Carter County, Kentucky",Carter 
4122,Kentucky,Casey County,Donald Trump,REP,6179,True,"Casey County, Kentucky",Casey 
4123,Kentucky,Casey County,Joe Biden,DEM,918,False,"Casey County, Kentucky",Casey 
4124,Kentucky,Casey County,Jo Jorgensen,LIB,53,False,"Casey County, Kentucky",Casey 
4125,Kentucky,Casey County,Kanye West,IND,12,False,"Casey County, Kentucky",Casey 
4126,Kentucky,Casey County,Brock Pierce,IND,9,False,"Casey County, Kentucky",Casey 
4127,Kentucky,Casey County, Write-ins,WRI,0,False,"Casey County, Kentucky",Casey 
4128,Kentucky,Christian County,Donald Trump,REP,15080,True,"Christian County, Kentucky",Christian 
4129,Kentucky,Christian County,Joe Biden,DEM,8296,False,"Christian County, Kentucky",Christian 
4130,Kentucky,Christian County,Jo Jorgensen,LIB,348,False,"Christian County, Kentucky",Christian 
4131,Kentucky,Christian County,Kanye West,IND,95,False,"Christian County, Kentucky",Christian 
4132,Kentucky,Christian County,Brock Pierce,IND,44,False,"Christian County, Kentucky",Christian 
4133,Kentucky,Christian County, Write-ins,WRI,0,False,"Christian County, Kentucky",Christian 
4134,Kentucky,Clark County,Donald Trump,REP,11811,True,"Clark County, Kentucky",Clark 
4135,Kentucky,Clark County,Joe Biden,DEM,6004,False,"Clark County, Kentucky",Clark 
4136,Kentucky,Clark County,Jo Jorgensen,LIB,226,False,"Clark County, Kentucky",Clark 
4137,Kentucky,Clark County,Kanye West,IND,53,False,"Clark County, Kentucky",Clark 
4138,Kentucky,Clark County,Brock Pierce,IND,34,False,"Clark County, Kentucky",Clark 
4139,Kentucky,Clark County, Write-ins,WRI,11,False,"Clark County, Kentucky",Clark 
4140,Kentucky,Clay County,Donald Trump,REP,6677,True,"Clay County, Kentucky",Clay 
4141,Kentucky,Clay County,Joe Biden,DEM,831,False,"Clay County, Kentucky",Clay 
4142,Kentucky,Clay County,Jo Jorgensen,LIB,40,False,"Clay County, Kentucky",Clay 
4143,Kentucky,Clay County,Kanye West,IND,23,False,"Clay County, Kentucky",Clay 
4144,Kentucky,Clay County,Brock Pierce,IND,19,False,"Clay County, Kentucky",Clay 
4145,Kentucky,Clay County, Write-ins,WRI,1,False,"Clay County, Kentucky",Clay 
4146,Kentucky,Clinton County,Donald Trump,REP,4280,True,"Clinton County, Kentucky",Clinton 
4147,Kentucky,Clinton County,Joe Biden,DEM,603,False,"Clinton County, Kentucky",Clinton 
4148,Kentucky,Clinton County,Jo Jorgensen,LIB,30,False,"Clinton County, Kentucky",Clinton 
4149,Kentucky,Clinton County,Kanye West,IND,10,False,"Clinton County, Kentucky",Clinton 
4150,Kentucky,Clinton County,Brock Pierce,IND,9,False,"Clinton County, Kentucky",Clinton 
4151,Kentucky,Clinton County, Write-ins,WRI,0,False,"Clinton County, Kentucky",Clinton 
4152,Kentucky,Crittenden County,Donald Trump,REP,3451,True,"Crittenden County, Kentucky",Crittenden 
4153,Kentucky,Crittenden County,Joe Biden,DEM,731,False,"Crittenden County, Kentucky",Crittenden 
4154,Kentucky,Crittenden County,Jo Jorgensen,LIB,47,False,"Crittenden County, Kentucky",Crittenden 
4155,Kentucky,Crittenden County,Kanye West,IND,7,False,"Crittenden County, Kentucky",Crittenden 
4156,Kentucky,Crittenden County,Brock Pierce,IND,6,False,"Crittenden County, Kentucky",Crittenden 
4157,Kentucky,Crittenden County, Write-ins,WRI,0,False,"Crittenden County, Kentucky",Crittenden 
4158,Kentucky,Cumberland County,Donald Trump,REP,2769,True,"Cumberland County, Kentucky",Cumberland 
4159,Kentucky,Cumberland County,Joe Biden,DEM,508,False,"Cumberland County, Kentucky",Cumberland 
4160,Kentucky,Cumberland County,Jo Jorgensen,LIB,21,False,"Cumberland County, Kentucky",Cumberland 
4161,Kentucky,Cumberland County,Kanye West,IND,7,False,"Cumberland County, Kentucky",Cumberland 
4162,Kentucky,Cumberland County,Brock Pierce,IND,4,False,"Cumberland County, Kentucky",Cumberland 
4163,Kentucky,Cumberland County, Write-ins,WRI,0,False,"Cumberland County, Kentucky",Cumberland 
4164,Kentucky,Daviess County,Donald Trump,REP,31025,True,"Daviess County, Kentucky",Daviess 
4165,Kentucky,Daviess County,Joe Biden,DEM,17286,False,"Daviess County, Kentucky",Daviess 
4166,Kentucky,Daviess County,Jo Jorgensen,LIB,670,False,"Daviess County, Kentucky",Daviess 
4167,Kentucky,Daviess County,Kanye West,IND,168,False,"Daviess County, Kentucky",Daviess 
4168,Kentucky,Daviess County,Brock Pierce,IND,96,False,"Daviess County, Kentucky",Daviess 
4169,Kentucky,Daviess County, Write-ins,WRI,42,False,"Daviess County, Kentucky",Daviess 
4170,Kentucky,Edmonson County,Donald Trump,REP,4828,True,"Edmonson County, Kentucky",Edmonson 
4171,Kentucky,Edmonson County,Joe Biden,DEM,1227,False,"Edmonson County, Kentucky",Edmonson 
4172,Kentucky,Edmonson County,Jo Jorgensen,LIB,60,False,"Edmonson County, Kentucky",Edmonson 
4173,Kentucky,Edmonson County,Kanye West,IND,10,False,"Edmonson County, Kentucky",Edmonson 
4174,Kentucky,Edmonson County,Brock Pierce,IND,6,False,"Edmonson County, Kentucky",Edmonson 
4175,Kentucky,Edmonson County, Write-ins,WRI,1,False,"Edmonson County, Kentucky",Edmonson 
4176,Kentucky,Elliott County,Donald Trump,REP,2246,True,"Elliott County, Kentucky",Elliott 
4177,Kentucky,Elliott County,Joe Biden,DEM,712,False,"Elliott County, Kentucky",Elliott 
4178,Kentucky,Elliott County,Jo Jorgensen,LIB,18,False,"Elliott County, Kentucky",Elliott 
4179,Kentucky,Elliott County,Brock Pierce,IND,10,False,"Elliott County, Kentucky",Elliott 
4180,Kentucky,Elliott County,Kanye West,IND,9,False,"Elliott County, Kentucky",Elliott 
4181,Kentucky,Elliott County, Write-ins,WRI,0,False,"Elliott County, Kentucky",Elliott 
4182,Kentucky,Estill County,Donald Trump,REP,5100,True,"Estill County, Kentucky",Estill 
4183,Kentucky,Estill County,Joe Biden,DEM,1355,False,"Estill County, Kentucky",Estill 
4184,Kentucky,Estill County,Jo Jorgensen,LIB,64,False,"Estill County, Kentucky",Estill 
4185,Kentucky,Estill County,Kanye West,IND,16,False,"Estill County, Kentucky",Estill 
4186,Kentucky,Estill County,Brock Pierce,IND,3,False,"Estill County, Kentucky",Estill 
4187,Kentucky,Estill County, Write-ins,WRI,2,False,"Estill County, Kentucky",Estill 
4188,Kentucky,Fayette County,Joe Biden,DEM,90600,True,"Fayette County, Kentucky",Fayette 
4189,Kentucky,Fayette County,Donald Trump,REP,58860,False,"Fayette County, Kentucky",Fayette 
4190,Kentucky,Fayette County,Jo Jorgensen,LIB,2383,False,"Fayette County, Kentucky",Fayette 
4191,Kentucky,Fayette County,Kanye West,IND,562,False,"Fayette County, Kentucky",Fayette 
4192,Kentucky,Fayette County,Brock Pierce,IND,309,False,"Fayette County, Kentucky",Fayette 
4193,Kentucky,Fayette County, Write-ins,WRI,198,False,"Fayette County, Kentucky",Fayette 
4194,Kentucky,Fleming County,Donald Trump,REP,5534,True,"Fleming County, Kentucky",Fleming 
4195,Kentucky,Fleming County,Joe Biden,DEM,1474,False,"Fleming County, Kentucky",Fleming 
4196,Kentucky,Fleming County,Jo Jorgensen,LIB,37,False,"Fleming County, Kentucky",Fleming 
4197,Kentucky,Fleming County,Kanye West,IND,16,False,"Fleming County, Kentucky",Fleming 
4198,Kentucky,Fleming County,Brock Pierce,IND,5,False,"Fleming County, Kentucky",Fleming 
4199,Kentucky,Fleming County, Write-ins,WRI,2,False,"Fleming County, Kentucky",Fleming 
4200,Kentucky,Floyd County,Donald Trump,REP,12250,True,"Floyd County, Kentucky",Floyd 
4201,Kentucky,Floyd County,Joe Biden,DEM,3884,False,"Floyd County, Kentucky",Floyd 
4202,Kentucky,Floyd County,Jo Jorgensen,LIB,111,False,"Floyd County, Kentucky",Floyd 
4203,Kentucky,Floyd County,Kanye West,IND,69,False,"Floyd County, Kentucky",Floyd 
4204,Kentucky,Floyd County,Brock Pierce,IND,37,False,"Floyd County, Kentucky",Floyd 
4205,Kentucky,Floyd County, Write-ins,WRI,2,False,"Floyd County, Kentucky",Floyd 
4206,Kentucky,Franklin County,Donald Trump,REP,12900,True,"Franklin County, Kentucky",Franklin 
4207,Kentucky,Franklin County,Joe Biden,DEM,12652,False,"Franklin County, Kentucky",Franklin 
4208,Kentucky,Franklin County,Jo Jorgensen,LIB,365,False,"Franklin County, Kentucky",Franklin 
4209,Kentucky,Franklin County,Kanye West,IND,89,False,"Franklin County, Kentucky",Franklin 
4210,Kentucky,Franklin County,Brock Pierce,IND,55,False,"Franklin County, Kentucky",Franklin 
4211,Kentucky,Franklin County, Write-ins,WRI,11,False,"Franklin County, Kentucky",Franklin 
4212,Kentucky,Fulton County,Donald Trump,REP,1606,True,"Fulton County, Kentucky",Fulton 
4213,Kentucky,Fulton County,Joe Biden,DEM,794,False,"Fulton County, Kentucky",Fulton 
4214,Kentucky,Fulton County,Jo Jorgensen,LIB,18,False,"Fulton County, Kentucky",Fulton 
4215,Kentucky,Fulton County,Brock Pierce,IND,5,False,"Fulton County, Kentucky",Fulton 
4216,Kentucky,Fulton County,Kanye West,IND,2,False,"Fulton County, Kentucky",Fulton 
4217,Kentucky,Fulton County, Write-ins,WRI,1,False,"Fulton County, Kentucky",Fulton 
4218,Kentucky,Gallatin County,Donald Trump,REP,2955,True,"Gallatin County, Kentucky",Gallatin 
4219,Kentucky,Gallatin County,Joe Biden,DEM,822,False,"Gallatin County, Kentucky",Gallatin 
4220,Kentucky,Gallatin County,Jo Jorgensen,LIB,58,False,"Gallatin County, Kentucky",Gallatin 
4221,Kentucky,Gallatin County,Brock Pierce,IND,11,False,"Gallatin County, Kentucky",Gallatin 
4222,Kentucky,Gallatin County,Kanye West,IND,3,False,"Gallatin County, Kentucky",Gallatin 
4223,Kentucky,Gallatin County, Write-ins,WRI,0,False,"Gallatin County, Kentucky",Gallatin 
4224,Kentucky,Garrard County,Donald Trump,REP,6754,True,"Garrard County, Kentucky",Garrard 
4225,Kentucky,Garrard County,Joe Biden,DEM,1830,False,"Garrard County, Kentucky",Garrard 
4226,Kentucky,Garrard County,Jo Jorgensen,LIB,86,False,"Garrard County, Kentucky",Garrard 
4227,Kentucky,Garrard County,Kanye West,IND,25,False,"Garrard County, Kentucky",Garrard 
