,ZIP,MSE,RMSE,R2
725,33712,1211.9736375830903,34.81341174867942,0.7255995034559212
726,33755,3171.7565061599344,56.31834963988145,-0.4191382668391277
727,33756,4193.655958085317,64.75844314130256,-0.040134646149663
728,33759,20502.116711326045,143.18560231855034,-5.2419231393102255
729,33761,8317.503415763122,91.20034767347722,-1.3174829183512586
730,33763,2723.5382010382477,52.18752917161578,0.27691306078829836
731,33770,3578.9967144993393,59.82471658519862,-0.6102354201929987
732,33772,11338.747192592557,106.4835536249263,-1.203768066019082
733,33781,1451.0793463118587,38.09303540428169,0.7447740350617438
734,33782,134.6957359230418,11.605849211627808,0.9049521325420219
735,33803,9930.319512586633,99.65098851785984,-0.9807427959445179
736,33810,7493.901969731018,86.56732622491593,-0.5005291587929943
737,33813,8775.577374938004,93.678051724713,-0.40422812204187797
738,33880,172.83059286994344,13.146504967859078,0.8938566116717087
739,33896,13555.171466948304,116.42667850174334,-16.4399118262442
740,33897,2636.109280695192,51.343054843816915,-8.388596567572904
741,33904,2141.235434520811,46.27348522124534,0.4534032435380475
742,33908,20118.622225025512,141.84012910677117,-7.172928568626801
743,33909,17913.453432943505,133.84114999858417,-1.2824136940575404
744,33916,15693.116371091168,125.27216918011426,-6.2766025683264814
745,33973,328.69432529038863,18.129928992977018,0.8756993292309994
746,33974,5245.785145661917,72.42779263281408,-2.3303635524879467
747,33991,9394.625977958183,96.92587878352295,-0.49899478817022147
748,34202,62793.671255167705,250.58665418407202,-7.317623988380488
749,34207,4427.6459254444435,66.54055849964324,-1.2700954048330764
750,34208,43981.99787956387,209.71885437309604,-12.158389425561044
751,34210,11064.02528853605,105.18567054754202,-1.8873717351528807
752,34212,62759.1671118216,250.51779799411779,-5.008799604799895
753,34231,42276.37161830403,205.6121874264851,-4.928643730820108
754,34232,21376.37883084448,146.20663059808362,-2.9260933830099702
755,34233,5158.2367266134725,71.8208655379025,-0.15546765110332728
756,34237,179.55280785958445,13.39973163386433,0.7983678493194417
757,34292,25579.557387515088,159.93610407758183,-4.6591941122820995
758,34293,23935.68922116515,154.71163246881326,-5.303816681602191
759,34608,6631.2366166928105,81.43240520021996,-0.599348999241067
760,34609,16518.836527288917,128.52562595563936,-1.6861716691844575
761,34639,15796.11875351705,125.68261118196523,-1.6136380924106226
762,34653,2192.5989702536262,46.82519589124669,-0.1106900342863184
763,34685,3768.8827191325827,61.39122672770583,0.484640303986854
764,34689,13997.916511024798,118.3127909865404,-3.0924262148916055
765,34690,5305.096144007603,72.83609094403407,-0.6365194915576875
766,34691,664.9411160188478,25.786452179756093,0.8053275175297496
767,34711,14068.24487768425,118.60963231409265,-9.00645714730668
768,34714,12976.93866451426,113.91636697382101,-6.255290878019128
769,34741,3572.7035373643903,59.77209664521055,-2.9178491154586372
770,34743,941.5824245445373,30.685215080630236,0.5227429863029687
771,34744,14896.572390507923,122.05151531426361,-2.4020579831525457
772,34747,192.90374577608068,13.88897929208913,0.8574385028923637
773,34748,3424.2762928834313,58.517316179772216,-3.534872058655689
774,34758,6818.202491432254,82.57240756713016,-0.056248664673820725
775,34761,28859.552012976957,169.88099367785955,-7.611935282387023
776,34786,30295.418766492086,174.05579210842737,-11.303232424949407
777,34787,8756.793867641152,93.57774237307262,-7.906416161364321
778,35205,113.64506311939516,10.660443851894495,0.6011114793716319
779,37013,674.4427800464832,25.970036196480034,0.7058153698317837
780,37064,27829.059644678022,166.8204413274285,-23.773303270577333
781,37066,6190.389467813561,78.6790281321113,-5.626074304158607
782,37067,35020.73595950068,187.13828031565504,-26.604027828231928
783,37075,24335.91610418864,155.99973110293698,-10.454308663699944
784,37086,1321.6867556165275,36.35501004836235,0.5367539421943708
785,37122,4123.45485452643,64.21413282546474,-0.4382890519523637
786,37128,5342.034329972254,73.08922170862304,-1.7671146144995502
787,37138,1180.0115760012136,34.35129656943408,0.5094765971820159
788,37203,47467.43501317616,217.8702251643766,-464.24031050213495
789,37205,2129.6209892759694,46.147816733578736,-3.012894824074059
790,37209,4783.253311456087,69.16106788834371,-11.787653353838689
791,37211,5349.980429199425,73.14356040827808,-18.038030720388075
792,37212,1034.2706624682132,32.16007870743188,-0.9156116606912426
793,37214,1868.731024433062,43.22882168684525,-0.8358611766377666
794,37215,11191.188551621579,105.78841407083092,-22.981752762807165
795,37216,322.34496292280613,17.953967887985268,0.6866719228528724
796,37221,2460.066569387082,49.59905815020162,-0.708844718279827
