,zip,mse,r2,rmse
245,21227,906.0901469064196,-1.1873027082834509,30.101331314518625
246,21228,1554.5681018806054,-9.195746341355763,39.42801163995726
247,21234,5402.8467658481195,-12.366031031509914,73.50405951951306
248,21401,1023.3462482727595,-4.517517588410863,31.989783498372717
249,21409,4611.964000880992,-5.018876346989876,67.91144234133886
250,21701,254.90602179618426,0.22677647584575045,15.965776579802947
251,21702,4175.6117721026285,-8.941932790720545,64.61897377785125
252,21704,2252.1585289767277,-7.326764613655355,47.45691234137265
253,22003,50.62003883523615,0.6600146645394588,7.1147760917147735
254,22015,972.8237258082368,-5.366415947845215,31.1901222474077
255,22026,1759.9919472739687,-3.9869901693713397,41.95225795203363
256,22030,736.9174717957236,-23.183253404417552,27.146223895704605
257,22031,5084.232031619241,-1135.8469139024387,71.30380096193498
258,22041,5788.849815711056,-127.87977326258383,76.08449129560542
259,22042,4800.2429710699935,-479.0242971069993,69.28378577322398
260,22043,227.41925851998465,-2.148882041045942,15.080426337474172
261,22101,1209.4366854101518,-5.122007968892782,34.77695624131232
262,22102,3748.116864728799,-1983.2971636799525,61.22186590368509
263,22124,842.4802050340959,-738.7387166153038,29.02550955683803
264,22152,183.61385461850614,-0.019290480534498222,13.550418983135028
265,22180,714.3294421037249,-8.25030932220651,26.726942251288772
266,22181,2843.715591651869,-3101.235190892948,53.32649990062979
267,22191,1563.370414705829,-4.122072709265548,39.53947919113034
268,22192,5.241804304465388,0.9201755689675322,2.2894987015644688
269,22193,279.99651255528136,-4.5844179789419,16.7330963230145
270,22201,11759.689345248315,-149.28356990732672,108.44210135020583
271,22202,29366.711136143476,-117.03076933137936,171.36718220284618
272,22203,17376.850879866968,-152.47562111756892,131.82128386518988
273,22204,4477.859911674249,-20149.369602534123,66.91681337058908
274,22206,3064.8577431682093,-1621.5717463831695,55.361157350331915
275,22207,83.03988993204895,0.5941023710042413,9.112622560605095
276,22209,17963.77000877199,-132.91918001983674,134.02898943427124
277,22303,3060.1915888375156,-6479.4057175382695,55.318998443911795
278,22306,129.36908939946252,-1.3182116567350182,11.374053340804346
279,22310,1107.1708298017452,-26.059164883138376,33.274176620943535
