,zip,mse,r2,rmse
783,55117,78.50200181567665,0.11994641794803929,8.860135541608642
817,60074,88.44458641985597,-0.6936197399546888,9.40449820138512
120,10458,1008.7089203773188,-3.4936915151074706,31.76017821702704
1623,98270,1632.2293370843108,-0.41915846238461985,40.40085812311801
1281,90272,76005.41582122502,-47.76309825998184,275.6907974910026
119,10280,90862.74377819907,-174.25093897750688,301.43447675771773
116,10069,146202.24423202244,-47.16281688813982,382.3640205772798
1485,94121,153290.99356181893,-110.06925164990403,391.5239374058998
1279,90265,504384.7165678272,-4.59364669980179,710.2004763218814
