,zip,mse,r2,rmse
701,37138,0.5220227995915316,0.9988574403705438,0.7225114529137456
734,45324,1.0184609861179805,0.9895244012856437,1.009188280806897
774,53212,1.1030778677127209,0.9375616301294686,1.050275139052963
1205,85712,1.5120780428089085,0.9792629296986207,1.2296658256652124
695,37066,2.6205408212674084,0.9851293396018873,1.6188084572510142
158,15217,4.733281393547812,0.9183917001112446,2.175610579480577
1453,92780,5.116923062484772,0.9848822954247475,2.262061684058322
1008,78239,5.265407689853846,0.9616286079281906,2.2946476177953437
879,66061,5.269739407720273,0.94579696609202,2.295591298058144
363,29205,5.818824303648662,0.9592851943768024,2.4122239331473065
823,60130,6.68728248975768,0.9029265445035175,2.5859780528375875
180,19143,7.761319330534398,0.8994937065110653,2.7859144514026983
1422,92586,9.06128662520468,0.974137805997077,3.0101971073676688
784,55119,9.158413149503085,0.8999687884156217,3.026287023648465
725,43202,10.189055098747806,0.7473787992045998,3.192029933874024
881,68104,10.680523676861725,0.8901431850379937,3.268107047950193
736,45405,12.719668629506435,0.707406983602408,3.566464443886471
863,60645,13.101213407164119,0.5773802126721252,3.6195598361077166
185,19148,13.36544196388958,0.8325249179603116,3.655877728246608
178,19132,13.626479571859486,0.4932300985672091,3.691406178119591
181,19144,14.618347301455175,0.8672735175656024,3.823394735239245
567,33179,15.670728849684943,0.8947488360842056,3.9586271420386314
609,33511,16.16640743972178,0.9240716676020895,4.020747124567992
893,75010,16.21691996962258,0.8857069070269357,4.027023711082737
807,60014,16.88368976881272,0.831397272766364,4.108976730137653
1097,80817,17.255421481185827,0.9408385549216486,4.153964549822955
721,40211,17.867938872677858,0.6919320884021058,4.227048482413924
1323,91321,17.969923314278862,0.9490816812818544,4.239094633796096
544,33071,17.99518885433601,0.903597202566057,4.242073650272472
268,22192,18.014940960001343,0.7256607975634313,4.244401130901902
811,60035,18.528798782678756,0.7178355515328108,4.304509122150719
1456,92807,18.928287434452162,0.9607477910345462,4.350665171494144
806,60008,20.92037518278762,0.8475438245788757,4.573879664222444
531,33020,21.256542232962676,0.9175481607168778,4.610481778834255
532,33025,22.42313251693436,0.8629020430350481,4.735307014010218
912,75075,23.069706825128595,0.83188067900716,4.8030934641258645
225,20906,23.59207197016576,0.7916303751408323,4.857167072498718
52,06851,23.830548768536474,-0.08320676220620338,4.881654306537536
1301,90803,24.678227741486058,0.9349097956851419,4.967718565044326
978,77090,24.823194875860555,0.4680743955172738,4.9822881165043595
595,33417,27.371751603569464,0.8287183977527376,5.231801946133804
1441,92649,28.858886925669267,0.9379675227296338,5.372046809705707
83,08873,29.988258953650405,0.829827029897318,5.476153664174372
982,77346,30.32380866431232,0.773374068524965,5.506705790607695
1019,78259,30.881288430598932,0.5764851872375003,5.557093523650554
1630,98402,31.38255797326872,0.9263752305612464,5.602013742688313
773,49506,31.68232973310786,0.8302732335726365,5.628705866636474
828,60193,31.76761877385562,0.6345048654973466,5.63627703132623
728,43235,31.933456545816767,0.7179576948848372,5.650969522640939
996,77573,32.41704715810122,0.33579186244072623,5.693597031587432
732,45219,33.23834621976204,0.8991419029069931,5.765270697873782
1542,95820,33.47707974985952,0.9602947032914393,5.785938104565198
796,55410,34.80634398186478,0.9268475460711582,5.899690159818969
547,33126,35.05720305117891,0.7489937729032536,5.920912349560574
1498,94531,36.34468995584464,0.9504484439155308,6.02865573373075
152,12550,36.38472193911136,0.7775390642309767,6.0319749617444005
343,28208,36.53998531938944,0.8573894762035972,6.044831289572062
199,20120,39.91736964180237,0.5894213408271757,6.318019439808837
198,20109,42.62644557948894,0.5743267570425516,6.528893135860698
979,77095,44.18328203463296,-1.0471018703304846,6.647050626754167
999,78130,44.42578639940428,0.4732120189793958,6.665267166393578
577,33309,45.82293367085609,0.7876656439502099,6.769263894313479
536,33035,46.69148637898826,0.6986025623733948,6.83311688609146
502,32808,46.75606055703025,0.8814718554993952,6.83784034304913
570,33186,46.77479314990955,0.5753108314257898,6.839209979954523
822,60126,46.87767681267738,0.6247284044348709,6.846727452781904
686,34747,47.89315796613864,0.8072494480960324,6.920488275124714
741,46203,48.665011831770265,0.8100671697806018,6.976031237872309
726,43204,49.25191560879484,0.6964442797608947,7.017970903957556
833,60532,49.87357108584757,0.6856707704673473,7.062122279162799
313,27607,52.3985061318545,0.7782073814524677,7.238681242592086
1305,90808,52.91791455422728,0.9278856447002998,7.274470053153514
1230,89115,53.15712409585084,0.8258412388559674,7.290893230314845
924,75165,53.54416052431977,0.8066416111068802,7.317387547774121
1039,78724,53.95064358250594,0.5756558512190926,7.345110181781206
1021,78261,54.80604090676823,0.3501259971529459,7.403110218466846
244,21225,54.982395615156,-0.8043447968510631,7.415011504721756
275,22207,57.71229396013143,0.7179032474453861,7.596860796416598
1010,78244,59.40986651857585,0.6103561314139678,7.707779610145574
1409,92284,59.68865752960729,0.7793168664818875,7.725843483374957
1049,78750,61.14622880322625,0.6657153778411321,7.819605412245957
1124,85014,62.3427302370308,0.7566849210176595,7.8957412721688645
928,75209,62.536870529432996,0.6834466621119815,7.908025703640131
1407,92154,63.66179478467405,0.6665466881640818,7.978834174531643
682,34714,64.07775947260684,0.8326587347831813,8.00485849172906
715,38112,64.10803778618114,0.621160643417183,8.00674951438979
1317,91302,65.56515997372874,0.9306351898714519,8.097231624063173
1320,91306,65.79437005295597,0.8526350201016354,8.111372883362963
253,22003,66.75090270521274,0.5516730415321534,8.170122563659174
317,27613,69.08078414629229,0.4965772815249956,8.31148507465978
875,64110,69.22513889161365,0.13257744514511272,8.320164595223682
900,75035,69.31262905448533,0.6286823443509715,8.325420653305473
684,34743,69.4228466833163,0.8112512287138898,8.332037366893903
200,20121,71.22334247167181,-0.1959143325467283,8.439392304643256
1369,92021,74.29166149385125,0.8395909666059711,8.619261075860926
537,33062,74.30167565134221,0.827261199648155,8.619841973687349
364,29206,74.70949850784923,0.1839981959094138,8.643465653766967
382,29609,76.0047246381467,-0.2614892056123934,8.718068859452
783,55117,78.50200181567665,0.11994641794803929,8.860135541608642
929,75214,81.3180697536676,0.4874911570147,9.017653228732385
706,37212,85.13900536869339,-0.009553423344190293,9.227080002291808
772,49505,87.23179748650959,0.38963173770372306,9.339796437102342
322,27701,88.13999023435304,0.26276959841154524,9.388290059129673
817,60074,88.44458641985597,-0.6936197399546888,9.40449820138512
693,37013,88.96297254942733,0.6549222053895718,9.432018476944759
163,19087,89.47759510063572,0.37391770191975005,9.459259754369564
556,33145,90.42609952401301,-0.5988897754737075,9.509263879187127
1639,99207,90.71073034412855,0.16694227234984005,9.524218096207612
907,75067,90.82445864259766,0.49580871069645105,9.530186705547676
1121,85008,91.25529259282206,0.8287268373212244,9.552763610224115
0,01604,92.10715976376878,0.8172074006893233,9.597247509769078
1294,90630,92.36638220378786,0.8076702088416703,9.610743062000351
156,15211,93.62725227976834,-0.7928622776976917,9.676117624324766
154,14607,93.80995308578736,0.22895928970585733,9.68555383474726
381,29607,94.00792334292464,0.03306135990134662,9.69576832143408
1002,78209,97.13405256693825,0.14209374572871025,9.855660940136802
971,77065,97.4117033229369,-0.2206130593893938,9.869736740305534
814,60067,97.51418001121881,0.06361416900403383,9.874926835740041
471,32208,98.20374360450292,0.3360873671808253,9.90978019960599
776,53711,99.79362683692877,0.4123064671798732,9.989676012610657
1089,80228,99.91329748147916,-0.9132333560283246,9.995663934000541
887,73071,101.65559519104853,-1.6423114995507202,10.082439942347712
1628,98374,102.43107438554087,0.7847207263775193,10.120823799747768
1060,80012,103.157773910625,0.2781963341530612,10.156661553415324
818,60085,104.91742993006295,-0.31466323615811564,10.242920966700025
1023,78628,106.65443789712616,0.6602460167864311,10.327363550157715
687,34748,108.59094421558818,-0.08440332642473614,10.420697875650564
1328,91343,110.49325118595864,0.7961065640117633,10.5115770075645
884,68131,110.54123580078526,-0.1939647431227931,10.513859224889082
1376,92054,110.65327112767436,0.8313854916149724,10.519185858595444
529,33015,115.1709533023385,0.2264637464768311,10.73177307355772
681,34711,117.01945569051709,0.6769401530016399,10.817553128620034
1014,78250,117.31874219118833,0.17911084181092707,10.831377668200307
952,76133,118.69165317713093,0.7174008257687359,10.89456989408627
188,19380,119.30761523564088,0.2973868561290576,10.92280253577995
1007,78238,125.06288728414832,-0.5329465244226557,11.183151938704414
865,60649,125.2382400022791,-2.2552899928390238,11.190989232515555
380,29605,125.78492937635531,0.3632933833592814,11.215388061781692
1099,80904,128.93657214386621,0.722915675908597,11.355024092614961
713,38104,130.889211933699,0.4169024094031476,11.440682319411678
827,60188,131.52332800773672,-0.16163881459237528,11.468362045546728
1126,85016,132.06958889864373,0.7468314589802356,11.492153362126862
889,73106,135.16430443410002,-0.5378997976067004,11.626018425673513
415,30117,135.60166325907934,0.27356251825493205,11.644812718935386
1400,92123,136.2088420285232,0.8517006407673723,11.67085438297142
882,68105,137.85097419600356,-0.586013125936762,11.740995451664375
372,29418,139.42003213905193,-0.8054392651100246,11.807626016225782
1096,80601,140.07275725847464,0.49714606488780555,11.835233722173578
1397,92117,141.39065656043954,0.8607788726737282,11.890780317558622
